business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bishal Fish Shop,Fish Market,Market,Market,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91536 15268,N/A,5.0,,"Station Rd, Jhallipatti, Nirmali, Bihar 847452",Jhallipatti,26.312315599999998,86.57699869999999,ChIJi_AvLbBh7jkROwPUStxD2sE,https://www.google.com/maps/place/?q=place_id:ChIJi_AvLbBh7jkROwPUStxD2sE,part_397,2026-09-20 20:18:44,94
Om Fish Shop,Fish Market,General store,General store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 92047 95182,N/A,,,"Hish School High School, Kr Pass, Nirmali, Bihar 847452",847409,26.304722899999998,86.5754269,ChIJr17LfGRh7jkRmDDpz2UYm-k,https://www.google.com/maps/place/?q=place_id:ChIJr17LfGRh7jkRmDDpz2UYm-k,part_397,2026-09-20 20:18:44,95
Chandan Fish Store,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 80025 39053,N/A,,,"Nirmali Supaul Nirmali, Supaul, Bihar 847452",847409,26.3043496,86.57524389999999,ChIJDb4lXD1h7jkRx0k54r1Wc1Y,https://www.google.com/maps/place/?q=place_id:ChIJDb4lXD1h7jkRx0k54r1Wc1Y,part_397,2026-09-20 20:18:44,96
Ram Kumar Fish Store,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 74885 34645,N/A,,,"Shop No 1 Khopa By Phulpras, To, Darbhanga Road, Madhubani, Bihar 847402",847409,26.321620799999998,86.3915088,ChIJDWPlFB597jkRtKq-W9Az5xY,https://www.google.com/maps/place/?q=place_id:ChIJDWPlFB597jkRtKq-W9Az5xY,part_397,2026-09-20 20:18:44,97
Taushif murga farm,Fish Market,Wholesale market,Wholesale market,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 84049 66735,N/A,5.0,,"Near, Narhiya North, Bihar 847108",847409,26.369672299999998,86.52781999999999,ChIJdwLZiOJh7jkRbIwZUsXYe10,https://www.google.com/maps/place/?q=place_id:ChIJdwLZiOJh7jkRbIwZUsXYe10,part_397,2026-09-20 20:18:44,98
REKHA FISH,Fish Market,General store,General store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 74828 65550,N/A,,,"001, Road, GARIYAHI, Narhiya South, Bihar 847108",GARIYAHI,26.362224899999998,86.53233259999999,ChIJM_sRBKRh7jkR4uEfTVlofdI,https://www.google.com/maps/place/?q=place_id:ChIJM_sRBKRh7jkR4uEfTVlofdI,part_397,2026-09-20 20:18:44,99
Arjun Mukhiya,Fish Market,Fish & chips restaurant,Fish & chips restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,,,"7FP2+749, Inarwa, Bihar 847402",847409,26.28566,86.4503572,ChIJPXKXTgBj7jkRwtA-Bpw09hc,https://www.google.com/maps/place/?q=place_id:ChIJPXKXTgBj7jkRwtA-Bpw09hc,part_397,2026-09-20 20:18:44,100
Raj Fish 🐟 Fresh and hygienic,Fish Market,Seafood market,"Seafood market, Market",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,https://rajfish.com/,4.0,,"65, Bazar Samiti, Chak Musallahpur, Bahadurpur, Patna, Bihar 800006","Bazar Samiti, Chak Musallahpur, Bahadurpur",25.6081807,85.175545,ChIJDZWEr8BY7TkRzJcwazbZFds,https://www.google.com/maps/place/?q=place_id:ChIJDZWEr8BY7TkRzJcwazbZFds,part_397,2026-09-20 20:18:44,101
RAJ FISH MARKET,Fish Market,Fish processing,"Fish processing, Service establishment",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,4.8,,"RAJ FISH MARKET, 847409, India",847409,25.6087404,85.1760662,ChIJtZvo7cpdx6sRtV9TPmTTiHo,https://www.google.com/maps/place/?q=place_id:ChIJtZvo7cpdx6sRtV9TPmTTiHo,part_397,2026-09-20 20:18:44,102
Pet Shop & Fish Mania Aquarium Store Darbhanga,Fish Market,Aquarium shop,Aquarium shop,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91556 22424,https://www.justdial.com/Darbhanga/FISH-MANIA-AQUARIUM-STORE-Near-Mitla-Floor-Mil-Bela-Dullah/9999P6272-6272-170917194619-Y8T8_BZDET,4.8,,"Navtoliya , Bela dulla, near chanwari, Darbhanga, Bihar 846005",847409,26.1746749,85.9144938,ChIJdYP8zMa37TkRJVhYfJRfYQs,https://www.google.com/maps/place/?q=place_id:ChIJdYP8zMa37TkRJVhYfJRfYQs,part_397,2026-09-20 20:18:44,103
