business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maharaja Dhaba,South Indian Restaurant,Restaurant,"Restaurant, Family restaurant",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 85390 30038,N/A,4.0,99.0,"Ward No. 07, Narhiya South, Bihar 847108",847409,26.369860199999998,86.5262691,ChIJt3tx1Blh7jkRkWuAajc3IKE,https://www.google.com/maps/place/?q=place_id:ChIJt3tx1Blh7jkRkWuAajc3IKE,part_397,2026-09-20 20:18:47,476
ASHOK HOTEL,South Indian Restaurant,Restaurant,Restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.7,525.0,"Kirtan Bhawan Rd, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.350000299999998,86.0764154,ChIJicPQ5UbN7TkRYVvYDUCA0PY,https://www.google.com/maps/place/?q=place_id:ChIJicPQ5UbN7TkRYVvYDUCA0PY,part_397,2026-09-20 20:18:47,477
Banshi Sah & Son's Restaurant & Hotel,South Indian Restaurant,Family restaurant,"Family restaurant, Breakfast restaurant",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 84058 42233,N/A,4.0,1091.0,"Indra Chowk, Benipatti, Bihar 847223",Indra Chowk,26.4430123,85.90536449999999,ChIJ03P9rjxK7DkRG9IbVtRBnEg,https://www.google.com/maps/place/?q=place_id:ChIJ03P9rjxK7DkRG9IbVtRBnEg,part_397,2026-09-20 20:18:47,478
Babloo hotel and family restaurant,South Indian Restaurant,North Indian restaurant,North Indian restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 97098 65114,N/A,4.1,169.0,"95W6+273, Rajnagar, Kewan, Bihar 847235",847409,26.398666199999997,86.17291759999999,ChIJQUsgxZ0s7DkRo-2fnBbFmFs,https://www.google.com/maps/place/?q=place_id:ChIJQUsgxZ0s7DkRo-2fnBbFmFs,part_397,2026-09-20 20:18:47,479
"Laziz Pizza, Madhubani",South Indian Restaurant,Pizza restaurant,Pizza restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 93413 09012,http://madhubani.lazizpizza.org/,4.0,296.0,"Behind Nand Hotel, Near Jio Store Thana, More, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.348155799999997,86.07216799999999,ChIJvzrj9snN7TkRl6f-Hc9OnrE,https://www.google.com/maps/place/?q=place_id:ChIJvzrj9snN7TkRl6f-Hc9OnrE,part_397,2026-09-20 20:18:47,480
BIHARI BY NATURE,South Indian Restaurant,North Indian restaurant,North Indian restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70332 65190,https://biharibynature-3cja94hxy-biharibynature3-specs-projects.vercel.app/,4.5,823.0,"1st Floor, Bansal Tower, opp. Jubba Sahni Park, Mahammadpur Kazi, Jagdishpuri, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Jagdishpuri",26.1111386,85.3965458,ChIJuehuq7YR7TkRKP4DVnTWCWE,https://www.google.com/maps/place/?q=place_id:ChIJuehuq7YR7TkRKP4DVnTWCWE,part_397,2026-09-20 20:18:47,481
Roll Singh,South Indian Restaurant,Restaurant,Restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98731 26056,N/A,5.0,1.0,"Ward No-26, opposite Suri High School Chowk, Madhubani, Bihar 847213",847409,26.3553134,86.0693233,ChIJHW1eMdfN7TkRbhqOnjBrEto,https://www.google.com/maps/place/?q=place_id:ChIJHW1eMdfN7TkRbhqOnjBrEto,part_397,2026-09-20 20:18:47,482
TANDOOR HOUSE,South Indian Restaurant,Indian restaurant,"Indian restaurant, Food court",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 89870 48745,N/A,4.3,19.0,"Madhubani - Pandaul - Sakri Rd, Pandaul, Madhubani, Bihar 847234",847409,26.2599055,86.0704482,ChIJQT0CYQDP7TkR9zXQR9viMlo,https://www.google.com/maps/place/?q=place_id:ChIJQT0CYQDP7TkR9zXQR9viMlo,part_397,2026-09-20 20:18:47,483
THE BIRYANI MAHAL,South Indian Restaurant,Family restaurant,Family restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94708 83766,N/A,4.1,171.0,"H4RQ+4W4, Jainagar, Bihar 847226",847409,26.5902699,86.13983309999999,ChIJnQlmm1Yl7DkRA_nDUUyAiYY,https://www.google.com/maps/place/?q=place_id:ChIJnQlmm1Yl7DkRA_nDUUyAiYY,part_397,2026-09-20 20:18:48,484
Santosh Sweet Shop,South Indian Restaurant,Restaurant,Restaurant,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,3.5,4.0,"Madhubani Madhubani, Bihar 852112",847409,26.0003022,87.03691529999999,ChIJhQRaESvJ7zkRdd5FGjTgMH4,https://www.google.com/maps/place/?q=place_id:ChIJhQRaESvJ7zkRdd5FGjTgMH4,part_397,2026-09-20 20:18:48,485
