business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Katihar Tyre House,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79911 37323,N/A,4.9,,"Shop No. 18, Indra Market, Mircaibari Chowk, Purnia-Katihar Rd, near Hanuman Mandir, Katihar, Bihar 854105",Mirchaibari,25.556087899999998,87.5570819,ChIJtT3S4hiq-jkRJNMsWNS_gtY,https://www.google.com/maps/place/?q=place_id:ChIJtT3S4hiq-jkRJNMsWNS_gtY,part_400,2026-09-20 20:18:59
MAA TARA TYRE HOUSE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 82353 10788,N/A,4.7,,"N.H. 31 Gerabari, in front of Indian Oil Petrol Pump, Katihar, Bihar 854108",854114,25.6158935,87.3994226,ChIJo63aNKAD8DkRhU6grFY7CrE,https://www.google.com/maps/place/?q=place_id:ChIJo63aNKAD8DkRhU6grFY7CrE,part_400,2026-09-20 20:18:59
Seemanchal Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94316 73031,https://sites.google.com/view/seemanchaltyre/home,4.9,,"NH 31, Sarvoday Nagar, Jail Chowk, Purnia, Bihar 854301","Sarvoday Nagar, Jail Chowk",25.7751913,87.4739357,ChIJv_rsE3H57zkRiC-qO9Bp67w,https://www.google.com/maps/place/?q=place_id:ChIJv_rsE3H57zkRiC-qO9Bp67w,part_400,2026-09-20 20:18:59
विश्वकर्मा गैरेज,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,1.0,,"G65W+XX5, पुठिया रोड, Chandpur East, Bihar 854101",854114,25.5098898,87.24747239999999,ChIJRfOxQwAZ8DkRHng41QxyzAA,https://www.google.com/maps/place/?q=place_id:ChIJRfOxQwAZ8DkRHng41QxyzAA,part_400,2026-09-20 20:18:59
BR 11 Tyre Company,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tire repair shop, Wheel alignment service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99276 52588,N/A,4.9,,"NH 31, beside pal market, opp. Govt bus stand, Purnia, Bihar 854301",Mariam Nagar,25.7692305,87.470959,ChIJJ5nxVXL57zkR7EBiVxK9XBI,https://www.google.com/maps/place/?q=place_id:ChIJJ5nxVXL57zkR7EBiVxK9XBI,part_400,2026-09-20 20:18:59
Lohni pothia,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"G7W6+RJ3, Shabda, Bihar 854114",854114,25.5476919,87.2612923,ChIJE0APZQAf8DkRy9ojg3ZswSE,https://www.google.com/maps/place/?q=place_id:ChIJE0APZQAf8DkRy9ojg3ZswSE,part_400,2026-09-20 20:18:59
"CEAT Shoppe, Katihar Tyre House",Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Tyre manufacturer, Tire repair shop, Tire service, Wheel alignment service, Wheel store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 97311 08722,https://tyreshop.ceat.com/ceat-shoppe-katihar-tyre-house-katihar-tyre-house-tyre-manufacturer-mojheli-katihar-82314/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"NW 020/0099, near BMP Cantt, Sant Colony, Shivpuri Colony, Mojheli, Katihar, Bihar 854106","Sant Colony, Shivpuri Colony, Mojheli",25.567885399999998,87.55645109999999,ChIJIe7fb46r-jkREUelHBXgnyQ,https://www.google.com/maps/place/?q=place_id:ChIJIe7fb46r-jkREUelHBXgnyQ,part_400,2026-09-20 20:18:59
MRF Tyres Exclusive - Satellite Tyres,Tyre Showroom and Puncture Shop,Store,Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99348 92205,https://dealers.mrftyres.com/mrf-tyres-exclusive-satellite-tyres-tyre-shop-mojheli-katihar-431337/Home,3.8,,"Purnia-Katihar Rd, Sant Colony, Mojheli, Katihar, Bihar 854106","Sant Colony, Mojheli",25.5681186,87.5563396,ChIJDUi2UxSq-jkR7PxiKchp8W0,https://www.google.com/maps/place/?q=place_id:ChIJDUi2UxSq-jkR7PxiKchp8W0,part_400,2026-09-20 20:18:59
चांदपुर कटिहार,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"G66W+5WX, Kursela - Forbesganj Rd, Bakia, Bihar 854101",854114,25.5104868,87.2473607,ChIJqzcaOQAZ8DkRZY_aHp4ntZs,https://www.google.com/maps/place/?q=place_id:ChIJqzcaOQAZ8DkRZY_aHp4ntZs,part_400,2026-09-20 20:18:59
M/S GULSHAN TYRE HOUSE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 74886 70625,N/A,4.3,,"Kazichak, Bihar 851213",854114,25.4708303,86.6346397,ChIJkTsB3vHc8TkRC3_ADbtZCKM,https://www.google.com/maps/place/?q=place_id:ChIJkTsB3vHc8TkRC3_ADbtZCKM,part_400,2026-09-20 20:19:00
