business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Car wash (foam wash),Car Wash and Auto Detailing,Car wash,Car wash,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 85212 54548,N/A,5.0,8.0,"Before, Sirsa Chowk, Katihar, Bihar 854106",854114,25.586909,87.5559497,ChIJg3qIBQar-jkRROBY_U-wZzk,https://www.google.com/maps/place/?q=place_id:ChIJg3qIBQar-jkRROBY_U-wZzk,part_400,2026-09-20 20:18:59
AUTO PARLOUR,Car Wash and Auto Detailing,Car wash,Car wash,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 90666 76440,N/A,4.9,54.0,"infront of toll barrier, Godda pirpainti road, below bhagalpur TVS, Mahagama, Ramchandarpur, Jharkhand 814154",854114,25.0416161,87.31624029999999,ChIJMUtDM9Nl8DkRqyz-8U8tpYk,https://www.google.com/maps/place/?q=place_id:ChIJMUtDM9Nl8DkRqyz-8U8tpYk,part_400,2026-09-20 20:18:59
Detailing Devils Purnea,Car Wash and Auto Detailing,Car wash,"Car wash, Auto restoration service, Car detailing service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70042 86923,http://www.detailingdevils.com/,4.1,42.0,"QF79+CRF, Subhash Nagar, Purnia, Bihar 854301",Subhash Nagar,25.7635567,87.4695534,ChIJZ5w-9Rb57zkRMhxJUAggKUw,https://www.google.com/maps/place/?q=place_id:ChIJZ5w-9Rb57zkRMhxJUAggKUw,part_400,2026-09-20 20:18:59
Ranjeet Electronic,Car Wash and Auto Detailing,Car wash,Car wash,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91234 09517,N/A,5.0,1.0,"Azamnagar, Barhat, Bihar 855113",854114,25.556958899999998,87.8449993,ChIJHfJQAAy1-jkRcUe_NWm_6mI,https://www.google.com/maps/place/?q=place_id:ChIJHfJQAAy1-jkRcUe_NWm_6mI,part_400,2026-09-20 20:18:59
AG CAR DETAILING,Car Wash and Auto Detailing,Car wash,Car wash,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 82102 39422,http://www.agdetailing.in/,5.0,6.0,"Bhandar Chowk Kathalbari Road, near yamaha showroom, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1651146,85.9028584,ChIJDckEFme57TkR7ZRMMub1uy0,https://www.google.com/maps/place/?q=place_id:ChIJDckEFme57TkR7ZRMMub1uy0,part_400,2026-09-20 20:18:59
Purnea Auto Care,Car Wash and Auto Detailing,Auto repair shop,"Auto repair shop, Auto bodywork mechanic, Auto painting, Auto restoration service, Garage",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91133 83147,https://purneaautocare.com/,5.0,57.0,"Bypass road, near Power Grid Road, Maranga, Purnia, Bihar 854301",Maranga,25.757039,87.47878469999999,ChIJ82h9K5n57zkRF9fdNUPpUAY,https://www.google.com/maps/place/?q=place_id:ChIJ82h9K5n57zkRF9fdNUPpUAY,part_400,2026-09-20 20:18:59
Bihar garage,Car Wash and Auto Detailing,Car repair and maintenance service,Car repair and maintenance service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,2.0,"chandra Kala garden ke, opposite purana sahayak thana, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.553764899999997,87.55926769999999,ChIJcRqpPgCr-jkRcZIaS1AZU-U,https://www.google.com/maps/place/?q=place_id:ChIJcRqpPgCr-jkRcZIaS1AZU-U,part_400,2026-09-20 20:18:59
"Raj Honda showroom, mirganj-kursela road, purniya bihar",Car Wash and Auto Detailing,Auto body shop,Auto body shop,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 90600 33591,N/A,5.0,2.0,"Mirganj bazaar, Kursela - Forbesganj Rd, near indian oil petrol pump, mirganj, Bihar 854304",854114,25.739801999999997,87.2796444,ChIJT1q0Dm3n7zkRfqyKLhIVzco,https://www.google.com/maps/place/?q=place_id:ChIJT1q0Dm3n7zkRfqyKLhIVzco,part_400,2026-09-20 20:18:59
My Carz Studio,Car Wash and Auto Detailing,Car wash,Car wash,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77393 53505,https://mycarzstudio.in/en,4.8,78.0,"Denvi Rd, near University Police Station, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1588949,85.9025757,ChIJS63GqKO57TkR-IAivbsBqZ4,https://www.google.com/maps/place/?q=place_id:ChIJS63GqKO57TkR-IAivbsBqZ4,part_400,2026-09-20 20:18:59
Showers Auto Spa,Car Wash and Auto Detailing,Car wash,"Car wash, Auto restoration service, Bike wash, RV detailing service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 63623 26881,https://showers-auto-spa.grexa.site/,4.8,361.0,"90, Ward, 14, Magazine Rd Ext, New Town, Cooch Behar, West Bengal 736101",New Town,26.309686,89.4486479,ChIJ8Ymcz3354jkRMtqaEUAQ9wU,https://www.google.com/maps/place/?q=place_id:ChIJ8Ymcz3354jkRMtqaEUAQ9wU,part_400,2026-09-20 20:18:59
