business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rainbow Balloon Event Decorator,Balloon Decorator,Balloon artist,Balloon artist,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93044 89149,https://www.instagram.com/rainbow_balloon_eventdecorator?igsh=MTV4dG0wNGxtbmE5cQ==,5.0,,"Near, Korat Bari Chowk, Madhubani, Purnia, Bihar 854301",Madhubani,25.7861872,87.467647,ChIJ9eWwZwD57zkRckzQFEhRohA,https://www.google.com/maps/place/?q=place_id:ChIJ9eWwZwD57zkRckzQFEhRohA,part_400,2026-09-20 20:19:10
Honey decoration & ballon event,Balloon Decorator,Balloon store,Balloon store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 70703 03065,N/A,5.0,,"QFCH+MW3 lakhan chock, Lakhan Chowk, Bhatta Bazar, Navratan Hatta, Purnia, Bihar 854301","Bhatta Bazar, Navratan Hatta",25.771637499999997,87.4797969,ChIJVRJJBgD57zkR2tHTpZprTMg,https://www.google.com/maps/place/?q=place_id:ChIJVRJJBgD57zkR2tHTpZprTMg,part_400,2026-09-20 20:19:10
SRI BALAJI EVENT,Balloon Decorator,Event planner,Event planner,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 92291 93139,N/A,5.0,,"near HOTEL JMD INTERNATIONAL, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.5623979,87.5627298,ChIJY-rSFBur-jkRFrPCznQUsmU,https://www.google.com/maps/place/?q=place_id:ChIJY-rSFBur-jkRFrPCznQUsmU,part_400,2026-09-20 20:19:10
Balloon DECORATION,Balloon Decorator,Balloon store,Balloon store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 85272 90595,http://balloondecoration.com/,4.7,,"BP petrol pump, Bhore - Kateya Rd, Katiya, Bihar, 841437",854114,26.5644495,84.08468719999999,ChIJ9X0eCBu7kzkRYEqUpGHKtB4,https://www.google.com/maps/place/?q=place_id:ChIJ9X0eCBu7kzkRYEqUpGHKtB4,part_400,2026-09-20 20:19:10
Decor Balloons,Balloon Decorator,Event planner,Event planner,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91555 39922,https://www.instagram.com/decor_balloons23?igsh=ZGo0enIzOG05ejls,5.0,,"Besides Raj Booth, East Loahnipur, Kashi nath lane, Central School Rd, near apollo, Patna, Bihar 800003","East Lohanipur, Lohanipur",25.6051903,85.15483619999999,ChIJK4j3iONZ7TkRFomiRKqDsHU,https://www.google.com/maps/place/?q=place_id:ChIJK4j3iONZ7TkRFomiRKqDsHU,part_400,2026-09-20 20:19:10
Chandan Event,Balloon Decorator,Event planner,Event planner,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"Muskan Ladies Corner, near Jaggarnath Mandir, P and T Colony, Barmasiya, Katihar, Bihar 854105","P and T Colony, Barmasiya",25.548348299999997,87.5605527,ChIJCaNRcyCq-jkRUC9cMCaPq18,https://www.google.com/maps/place/?q=place_id:ChIJCaNRcyCq-jkRUC9cMCaPq18,part_400,2026-09-20 20:19:10
Patna balloon decoration,Balloon Decorator,Balloon artist,Balloon artist,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 90656 37611,N/A,4.8,,"Boring Rd, Anandpuri, Patna, Bihar 800001",Anandpuri,25.6173798,85.115451,ChIJP5VhIJFZ7TkR4Xf0Dtqaljo,https://www.google.com/maps/place/?q=place_id:ChIJP5VhIJFZ7TkR4Xf0Dtqaljo,part_400,2026-09-20 20:19:10
Saugat Balloon decorator / सौगात बल्लून डैकोरेटर,Balloon Decorator,Balloon artist,"Balloon artist, Balloon store, Dried flower shop, Event planner, Flower delivery, Flower designer, Party planner, Wedding planner",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77668 32227,N/A,4.9,,"Digha Ashiyana Road, Near Bharat Petrol Pump, opposite St. Xavier College, Digha Ghat, Patna, Bihar 800011","Yadav Colony, Digha Ghat",25.642288699999998,85.0876737,ChIJdabKB5xX7TkRLkzEiFu6__o,https://www.google.com/maps/place/?q=place_id:ChIJdabKB5xX7TkRLkzEiFu6__o,part_400,2026-09-20 20:19:10
Pradeep balloon decoration,Balloon Decorator,Balloon store,Balloon store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96088 46596,N/A,5.0,,"Sapna Cinema Road, Shivganj, Arrah, Bihar 802301",Shivganj,25.5584115,84.6747546,ChIJRZxmm3JfjTkRtd8JxZPNS1U,https://www.google.com/maps/place/?q=place_id:ChIJRZxmm3JfjTkRtd8JxZPNS1U,part_400,2026-09-20 20:19:10
Balloons Decoration in Patna,Balloon Decorator,Balloon artist,"Balloon artist, Balloon store, Event planner, Party planner",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 76674 27741,https://joyfull.in/,4.8,,"near pc colony, Kankarbagh, Patna, Bihar 800020",Kankarbagh,25.5924968,85.15314049999999,ChIJ64FLmGNZ7TkRwzPT0AtGWdA,https://www.google.com/maps/place/?q=place_id:ChIJ64FLmGNZ7TkRwzPT0AtGWdA,part_400,2026-09-20 20:19:10
