business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RUFARS FOODS PVT LTD.,Frozen Food Distributor,Food products supplier,"Food products supplier, Manufacturer, Wholesaler",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.9,23.0,"inside Sitaram chamariya college, beside Aman iti pvt college, Hirday Gunj, Hardiya Gunj, Katihar, Bihar 854105","Hirday Gunj, Hardiya Gunj",25.5667498,87.5408111,ChIJ6QwZylir-jkRR7i53Xlbr_U,https://www.google.com/maps/place/?q=place_id:ChIJ6QwZylir-jkRR7i53Xlbr_U,part_400,2026-09-20 20:18:46
PLS Agro Foods Global Pvt Ltd,Frozen Food Distributor,Food products supplier,"Food products supplier, Exporter, Food & Beverage Exporter, Food producer, Food manufacturer",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62079 98034,http://www.plsfoods.com/,4.7,76.0,"Ward no 5, Ramnagar Sarwasa, Katihar, Tapka, Bihar 854107",854114,25.5726691,87.58509939999999,ChIJp4kQGQwB8DkR_7iLTRT0Wpw,https://www.google.com/maps/place/?q=place_id:ChIJp4kQGQwB8DkR_7iLTRT0Wpw,part_400,2026-09-20 20:18:47
Food Corporation Of India,Frozen Food Distributor,Warehouse,Warehouse,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"GHH9+PJW, Tingachiya, Katihar, Bihar 854105",Tingachiya,25.5293529,87.5690917,ChIJ____WJep-jkREjmWjPotHYw,https://www.google.com/maps/place/?q=place_id:ChIJ____WJep-jkREjmWjPotHYw,part_400,2026-09-20 20:18:47
Bihar frozen food and food products supplies,Frozen Food Distributor,Frozen food store,"Frozen food store, Food products supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 90658 08777,N/A,5.0,1.0,"Gate no- 18, Main Rd, dujra devi asthan, Buddha Colony, Patna, Bihar 800001","dujra devi asthan, Buddha Colony",25.623913599999998,85.12745579999999,ChIJrQOT2AFZ7TkRJ1LAXy5TOy8,https://www.google.com/maps/place/?q=place_id:ChIJrQOT2AFZ7TkRJ1LAXy5TOy8,part_400,2026-09-20 20:18:47
LATA and SONS,Frozen Food Distributor,Food products supplier,"Food products supplier, Food and beverage consultant, Food producer, Frozen food manufacturer, Frozen food store, Wholesale Food Store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 81025 02843,N/A,5.0,7.0,"Seikhpura bodybuilder lane pilor.no.77, Bihar 800014","Mali Tola, Sheikhpura",25.604018,85.0907866,ChIJEaFavcZX7TkROZ7MdURfrq8,https://www.google.com/maps/place/?q=place_id:ChIJEaFavcZX7TkROZ7MdURfrq8,part_400,2026-09-20 20:18:47
Agrozee Fresh Foods Pvt Ltd.,Frozen Food Distributor,Food Processing Company,Food Processing Company,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99109 00751,http://www.agrozee.in/,4.0,4.0,"Dadhiya Road, Chak Abdul Gani, Bihar 848129",854114,25.8569425,85.7350333,ChIJw0ra5n6b7TkRb7ovH2J9Sy8,https://www.google.com/maps/place/?q=place_id:ChIJw0ra5n6b7TkRb7ovH2J9Sy8,part_400,2026-09-20 20:18:47
Foodies Enterprises,Frozen Food Distributor,Food products supplier,"Food products supplier, Dairy Products Supplier, Frozen food store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94728 04192,N/A,4.7,15.0,"near news 18 Office, P&T Colony, Kidwaipuri, Patna, Bihar 800001","P&T Colony, Kidwaipuri",25.6139914,85.12618309999999,ChIJnSvngY9Z7TkRY2pVryOfE8c,https://www.google.com/maps/place/?q=place_id:ChIJnSvngY9Z7TkRY2pVryOfE8c,part_400,2026-09-20 20:18:47
Dfreshfoods,Frozen Food Distributor,Wholesaler,Wholesaler,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 97981 03484,N/A,5.0,1.0,"Fish Cold Storage, Road, P.S, Paroo, Bakhra, Bihar 843112",P.S,26.0817761,85.0776053,ChIJI4K4qecx7TkRulNLEBNNosc,https://www.google.com/maps/place/?q=place_id:ChIJI4K4qecx7TkRulNLEBNNosc,part_400,2026-09-20 20:18:47
Jay Shiv Food Product,Frozen Food Distributor,Manufacturer,Manufacturer,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62026 10943,N/A,5.0,2.0,"Pin code, Sultanganj - Deoghar Rd, Vishvkarma Nagar, Katoria, Chihutjor, Bihar 813106",Vishvkarma Nagar,24.7571163,86.6980463,ChIJy4J7HqkP8TkRtP53OpBhjlY,https://www.google.com/maps/place/?q=place_id:ChIJy4J7HqkP8TkRtP53OpBhjlY,part_400,2026-09-20 20:18:47
A.P Enterprises,Frozen Food Distributor,Food products supplier,"Food products supplier, Produce wholesaler",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93046 92279,N/A,,,"Kumari Pur, Bihar 854103",854114,25.4390061,87.63104249999999,ChIJ38Qgv2ml-jkRkkNwf3FveiU,https://www.google.com/maps/place/?q=place_id:ChIJ38Qgv2ml-jkRkkNwf3FveiU,part_400,2026-09-20 20:18:48
