business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Satanpur Lakri Mandi,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,3.9,224.0,"QQ5H+5MV, Satan Pur, Bihar 848132",848504,25.757983799999998,85.7791864,ChIJZ69RV5CP7TkRhaGCVOaSKkk,https://www.google.com/maps/place/?q=place_id:ChIJZ69RV5CP7TkRhaGCVOaSKkk,part_398,2026-09-20 20:19:28
Tajpur Mandi,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.2,112.0,"RMWM+3RX, Motipur, Bihar 848130",848504,25.8452375,85.6846094,ChIJ685lIWib7TkRddpRYI4ywo8,https://www.google.com/maps/place/?q=place_id:ChIJ685lIWib7TkRddpRYI4ywo8,part_398,2026-09-20 20:19:28
Aashapur Sabji Mandi,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 94719 95857,http://aashapursabjimandi.com/,3.8,60.0,"Ashapur - Alinagar Rd, Ashapur, Raghunandanpur, Benipur, Bihar 847103",Ashapur,26.0660235,86.1447274,ChIJM8nECgXd7TkRbq6faz84meM,https://www.google.com/maps/place/?q=place_id:ChIJM8nECgXd7TkRbq6faz84meM,part_398,2026-09-20 20:19:28
थोक सब्जी मन्डी,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.3,33.0,"GX78+QH, Chhaura Bandh, Bihar 824220",848504,24.5143772,84.9663842,ChIJBUqM0w018zkRGskEHdD23dA,https://www.google.com/maps/place/?q=place_id:ChIJBUqM0w018zkRGskEHdD23dA,part_398,2026-09-20 20:19:29
Ladaura Market,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.2,32.0,"Ladaura, Bihar 848302",848504,25.9675868,85.7589763,ChIJ8XqgKhuY7TkRqP4TzLfEBX8,https://www.google.com/maps/place/?q=place_id:ChIJ8XqgKhuY7TkRqP4TzLfEBX8,part_398,2026-09-20 20:19:29
MANISH SABJI MANDI,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 82713 78289,N/A,5.0,1.0,"Dindayal Market, Main Rd, near Rambabu, Hilsa, Bihar 801302",848504,25.3230008,85.2787159,ChIJfTu5jheX8jkRag-K4n1NL_w,https://www.google.com/maps/place/?q=place_id:ChIJfTu5jheX8jkRag-K4n1NL_w,part_398,2026-09-20 20:19:29
Singhia Haat,Wholesale Market / Mandi,Fresh food market,Fresh food market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.6,16.0,"GH School Campus, Singhea Khurd, Bihar 848113",848504,25.9137857,85.74077679999999,ChIJHRw9AbyZ7TkRrZNFrKbUYLg,https://www.google.com/maps/place/?q=place_id:ChIJHRw9AbyZ7TkRrZNFrKbUYLg,part_398,2026-09-20 20:19:29
Sabjee Markets,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,2.0,"HQQQ+J6P, Sahit, Bihar 848503",848504,25.5890883,85.7880723,ChIJlT32Br938jkRy18Pgj5vhfc,https://www.google.com/maps/place/?q=place_id:ChIJlT32Br938jkRy18Pgj5vhfc,part_398,2026-09-20 20:19:29
Anmol Enterprises,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,5.0,1.0,"Mahadev Chowk, Lagunia, Bihar 848504",848504,25.6140774,85.6319245,ChIJOXu5dwCB7TkRqMeNjCbrRPM,https://www.google.com/maps/place/?q=place_id:ChIJOXu5dwCB7TkRqMeNjCbrRPM,part_398,2026-09-20 20:19:29
Kusheshwar Market Complex,Wholesale Market / Mandi,Market,Market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,4.2,,"QPMF+R3Q, near Maa Durga Mandir, Bathua Buzurg, Bihar 848127",848504,25.7845943,85.7227322,ChIJw5TgcGaF7TkRXZpXf6RKzNc,https://www.google.com/maps/place/?q=place_id:ChIJw5TgcGaF7TkRXZpXf6RKzNc,part_398,2026-09-20 20:19:30
Hasanpur सब्जी मंडी,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"HGMH+FRG, Hasanpur Juned, Bihar 844506",848504,25.5837288,85.5296024,ChIJBWBgagCB8jkRldYuPwPwruc,https://www.google.com/maps/place/?q=place_id:ChIJBWBgagCB8jkRldYuPwPwruc,part_398,2026-09-20 20:19:30
