business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ark Urja Machinery (OPC) Private Limited,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Battery Store, Battery Wholesaler, Car battery store, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 88095 14296,https://arkurjamachinery.in/,5.0,,"River Valley Market, Panhas, Begusarai, Bihar 851218",848504,25.437233199999998,86.13673469999999,ChIJtQuYnz8F8jkRgpvD7usPrNU,https://www.google.com/maps/place/?q=place_id:ChIJtQuYnz8F8jkRgpvD7usPrNU,part_398,2026-09-20 20:19:06
Shiv Shakti Solar Solution,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 80 6983 1428,https://www.shivshaktisolarsolution.com/,2.8,,"Tajpur Rd, Amir ganj, Dharampur, Samastipur, Bihar 848101","Amir ganj, Dharampur",25.8657008,85.76987419999999,ChIJyc8-tFKR7TkRYvFwRvoIehw,https://www.google.com/maps/place/?q=place_id:ChIJyc8-tFKR7TkRYvFwRvoIehw,part_398,2026-09-20 20:19:06
RVP Enterprises,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Supplier, Energy equipment and solutions, Green energy supplier, Solar Energy Company, Solar energy system service, Solar hot water system supplier, Solar panel maintenance service, Solar photovoltaic power plant",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 77177 04523,http://www.rvpenterprises.in/,4.0,,"near Police Staiton, Katra Bazar, Deedarganj, Patna, Bihar 800008","Katra Bazar, Deedarganj",25.576722999999998,85.25429009999999,ChIJ5TtQFfGh8jkRHLJk9G-yRP0,https://www.google.com/maps/place/?q=place_id:ChIJ5TtQFfGh8jkRHLJk9G-yRP0,part_398,2026-09-20 20:19:06
BATTERY INVERTER CENTER,Solar Rooftop and Inverter Dealer,Battery Store,Battery Store,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 80024 25496,https://www.instagram.com/battery_invertercenter?igsh=MWd4anUxajV6dTM2YQ%3D%3D&utm_source=qr,4.9,,"nh 28, near by Durga mandir, Dalsinghsarai, Bihar 848114",848504,25.660351799999997,85.8345152,ChIJyeChhN-J7TkR11EbYGOsvxg,https://www.google.com/maps/place/?q=place_id:ChIJyeChhN-J7TkR11EbYGOsvxg,part_398,2026-09-20 20:19:06
Solar Energy Systems,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 94305 59435,N/A,4.8,210.0,"Shop No G-18, Umang Palace, Windsor Complex, Exhibition Rd, Hotel, Fraser Road Area, Patna, Bihar 800001","Hotel, Fraser Road Area",25.608639999999998,85.141635,ChIJzVz-y11Y7TkRY31aN9a--tU,https://www.google.com/maps/place/?q=place_id:ChIJzVz-y11Y7TkRY31aN9a--tU,part_398,2026-09-20 20:19:07
Potent solar (Loom Solar Distributor),Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 88511 28970,https://potentsolar.in/,5.0,20.0,"Metro pillar 83, Bhootnath metro station, West of, Bypass Rd, near Nandlal Chhapra, Vijay Nagar, Patna, Bihar 800026",Vijay Nagar,25.5856532,85.1702234,ChIJZ3KIb1xZ7TkRTi5vBBPaXTQ,https://www.google.com/maps/place/?q=place_id:ChIJZ3KIb1xZ7TkRTi5vBBPaXTQ,part_398,2026-09-20 20:19:07
SK AND SONS,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Battery Store, Battery Wholesaler, Electronics manufacturer, Solar Energy Company, Solar photovoltaic power plant, Cooler Supplier",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 95044 45614,https://www.googal.com/,5.0,144.0,"Bharat Milap Chawk, Chhapra District Jail, Pratap Nagar, Chapra, Bihar 841301",Pratap Nagar,25.783981999999998,84.728399,ChIJYw2Hxvy7kjkRmU_KaIzNAMg,https://www.google.com/maps/place/?q=place_id:ChIJYw2Hxvy7kjkRmU_KaIzNAMg,part_398,2026-09-20 20:19:07
Livguard - Mehrotra Electronics & Electr,Solar Rooftop and Inverter Dealer,Battery Store,"Battery Store, Electrical supply store",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 91023 47787,https://www.livguard.com/battery-inverter-dealers/livguard-mehrotra-electronics-electr-battery-store-jandaha-vaishali-301904/Home?utm_source=locator&utm_medium=googleplaces,4.2,26.0,"Ground Floor, Hazrat Jandaha, Bihar 844505",848504,25.709350999999998,85.537801,ChIJT5mkHEF57TkRwGQWSq8sIag,https://www.google.com/maps/place/?q=place_id:ChIJT5mkHEF57TkRwGQWSq8sIag,part_398,2026-09-20 20:19:07
Parhelion Energy Private Limited,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 73520 00053,http://www.parhelionenergy.com/,4.8,92.0,"Infront of Aditya Vision, NH139, Service Rd, beside AL Rahat Granite Shop, Bhabha Colony, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800027","Bhabha Colony, East Lakshmi Nagar, Ramkrishan Nagar",25.584091599999997,85.15787739999999,ChIJmahJDwFZ7TkR2456I3vUH0E,https://www.google.com/maps/place/?q=place_id:ChIJmahJDwFZ7TkR2456I3vUH0E,part_398,2026-09-20 20:19:07
BABA SOLAR,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Battery Store, Electronics manufacturer",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 70208 27793,http://www.babasolarmgr.in/,4.9,99.0,"maa ambe chowk, sajuber road, near cold store, Dilawer Pur, Munger, Bihar 811201",Dilawer Pur,25.370932099999997,86.4789222,ChIJ73rAMBOR7TkRTc5v2HFHXaw,https://www.google.com/maps/place/?q=place_id:ChIJ73rAMBOR7TkRTc5v2HFHXaw,part_398,2026-09-20 20:19:07
