business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HEAVENLY ENTERPRISES,Interior Designers,Interior designer,Interior designer,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,https://www.facebook.com/share/17bsafBsbV/,5.0,41.0,"Baluahi, Sultanpur, Nawada, Bihar 848501","Baluahi, Sultanpur",25.5803704,85.6789768,ChIJdxxjJcR_8jkRCqztiaR2jjI,https://www.google.com/maps/place/?q=place_id:ChIJdxxjJcR_8jkRCqztiaR2jjI,part_398,2026-09-20 20:19:06
AMRA STILE DI VITA,Interior Designers,Interior designer,Interior designer,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 6274 466 756,https://youtube.com/@amrastiledivita?si=tGEfitKqg7k_muuB,5.0,19.0,"Tatya colony, Gola Rd, behind khatu shyam mandir, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,25.8631873,85.78699879999999,ChIJ3XW8ncGR7TkRkj4hOniDKkw,https://www.google.com/maps/place/?q=place_id:ChIJ3XW8ncGR7TkRkj4hOniDKkw,part_398,2026-09-20 20:19:06
Khushi interiors,Interior Designers,Interior Decorator,Interior Decorator,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"MJRP+M4Q, Bajitpur Karnail, Bihar 848505",848504,25.6917123,85.6353659,ChIJEdSXbwCB7TkRbRGCAj77yek,https://www.google.com/maps/place/?q=place_id:ChIJEdSXbwCB7TkRbRGCAj77yek,part_398,2026-09-20 20:19:06
S | K Architecture Design Studio,Interior Designers,Interior designer,"Interior designer, Architecture firm, Graphic designer, Architectural designer, Vastu consultant",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 95826 79725,http://www.skadsstudio.com/,4.6,20.0,"Shivdham 1st Floor, Sadar Bazar, @, Marwari Bazar, near Gurudwara, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,25.8608807,85.7868302,ChIJP-LvKGOR7TkRBaRsB2wRL-4,https://www.google.com/maps/place/?q=place_id:ChIJP-LvKGOR7TkRBaRsB2wRL-4,part_398,2026-09-20 20:19:06
Sharma interior Work Samastipur Bihar,Interior Designers,Carpenter,Carpenter,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 83403 62773,N/A,4.4,18.0,"Ujiarpur, Samastipur, Bihar 848132",848504,25.7770279,85.7999116,ChIJT-X6KCaP7TkR7gjOtcHiGzY,https://www.google.com/maps/place/?q=place_id:ChIJT-X6KCaP7TkR7gjOtcHiGzY,part_398,2026-09-20 20:19:06
Sharma interior work,Interior Designers,Interior Decorator,Interior Decorator,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 74818 74989,N/A,5.0,4.0,"near Kusaiya pokhari, Kusaiya, Bihar 848301",848504,25.9097196,85.82815839999999,ChIJ-9se6euX7TkRMP_yhG-1Xeg,https://www.google.com/maps/place/?q=place_id:ChIJ-9se6euX7TkRMP_yhG-1Xeg,part_398,2026-09-20 20:19:06
Zee Interior - Interior Designer in Patna || Full Home Interior || Commercial Interior,Interior Designers,Interior designer,"Interior designer, Architectural designer, Bathroom remodeler, Custom home builder, Home builder, Interior architect office, Interior construction contractor, Interior Decorator, Kitchen remodeler",848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 95349 00999,https://zeeinterior.com/,4.5,784.0,"1st floor, Usha Niketan House, 122, Boring Patliputra Rd, beside Bank Of Baroda, above Havells Showroom, Patliputra Colony, Patna, Bihar 800013",Patliputra Colony,25.6258433,85.11054469999999,ChIJ1SxLHh5Z7TkRbpYmjoRjetE,https://www.google.com/maps/place/?q=place_id:ChIJ1SxLHh5Z7TkRbpYmjoRjetE,part_398,2026-09-20 20:19:06
Anand Design Associates-Best Architect | Best Interior Designer | Best Construction Company in Muzaffarpur Bihar,Interior Designers,Design agency,Design agency,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 94065 26828,http://www.ananddesignassociate.com/,4.8,98.0,"Indira colony , Kachhi pakki nera, NH 28, Muzaffarpur, Bihar 842002","Attardah, Patepur",26.0933793,85.3917005,ChIJb7QZO-cR7TkRsHCS1GCYxCg,https://www.google.com/maps/place/?q=place_id:ChIJb7QZO-cR7TkRsHCS1GCYxCg,part_398,2026-09-20 20:19:06
Best Interior Designer,Interior Designers,Interior designer,Interior designer,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",+91 95555 32068,N/A,4.9,80.0,"Danapur - Khagaul Rd, Lekha nagar, Balaji Nagar, Patna, Bihar 801503","Lekha nagar, Balaji Nagar",25.609055599999998,85.04215909999999,ChIJ3SbZfgtX7TkRKf7bWUJrCNI,https://www.google.com/maps/place/?q=place_id:ChIJ3SbZfgtX7TkRKf7bWUJrCNI,part_398,2026-09-20 20:19:06
Shobhit & Mohit Painter,Interior Designers,Painter,Painter,848504,Bihar circle,"East Region, Bhagalpur",Samastipur Division,"Bahadurpur Patory BO, Chaksaho BO, Chandpura BO",N/A,N/A,,,"Vill.Bhoua , Po. Shahpur Undi, Dist. Samastipur Shahpur, Bihar 848504",848504,25.628761299999997,85.6125303,ChIJJ7FlTQCB7TkRln1yXJiJ9SM,https://www.google.com/maps/place/?q=place_id:ChIJJ7FlTQCB7TkRln1yXJiJ9SM,part_398,2026-09-20 20:19:06
