business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
J.P Resort,Resort,Hotel,Hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,5.0,5.0,"5VFJ+HFV, Azamnagar, Gahumi, Darbhanga, Bihar 846004","Azamnagar, Gahumi",26.1739759,85.8811784,ChIJCUQ3WgC37TkRY4B47PZFgis,https://www.google.com/maps/place/?q=place_id:ChIJCUQ3WgC37TkRY4B47PZFgis,part_396,2026-09-20 20:19:57,6505
Zorko a unit of Raj Resort,Resort,Cafe,Cafe,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,4.4,12.0,"ekmi, chowk, Ojhaul, Darbhanga, Bihar 846003",chowk,26.118480899999998,85.8747286,ChIJsyO2PWa57TkRd9CPHTgyo3Q,https://www.google.com/maps/place/?q=place_id:ChIJsyO2PWa57TkRd9CPHTgyo3Q,part_396,2026-09-20 20:19:57,6506
Hotel O Shiv Garden Resort,Resort,Hotel,Hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 124 620 1182,https://www.oyorooms.com/219491/,3.7,43.0,"plot no.82, Chakka, NH57, opposite reliance petrol pump, Shahpur, Darbhanga, Bihar 846005",847121,26.182025099999997,85.839998,ChIJ9dq9iwSx7TkRoUIFPKtKc8A,https://www.google.com/maps/place/?q=place_id:ChIJ9dq9iwSx7TkRoUIFPKtKc8A,part_396,2026-09-20 20:19:57,6507
Blue Diamond Resort And Hotel,Resort,Resort hotel,Resort hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 62077 66277,http://bluediamondresort.in/,4.2,4046.0,"NH- 57, Garha, Darbhanga Road, Muzaffarpur, Bihar 843103",847121,26.1709355,85.4486494,ChIJs-FwGqgF7TkRQWeKl1vLmbM,https://www.google.com/maps/place/?q=place_id:ChIJs-FwGqgF7TkRQWeKl1vLmbM,part_396,2026-09-20 20:19:57,6508
The Green Heritage Resort and Banquet,Resort,Resort hotel,"Resort hotel, Banquet hall, Conference center, Event venue, Hotel, Swimming pool, Wedding venue",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 92340 52600,https://www.thegreenheritageresort.in/,4.6,553.0,"Bakarpur, Gobarsahi Sakri Road, Muzaffarpur, Bihar 844127",847121,26.06385,85.3504979,ChIJW6XfoCQX7TkR260uvlbDN1c,https://www.google.com/maps/place/?q=place_id:ChIJW6XfoCQX7TkR260uvlbDN1c,part_396,2026-09-20 20:19:57,6509
Rajwara Resort,Resort,Resort hotel,Resort hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 94312 97641,N/A,3.9,1651.0,"Mehta Petrol Pump, Near, N.H.82, Gaya - Nawada Rd, Gaya, Bihar 823003",847121,24.7976872,85.0440445,ChIJI3Y_4r8p8zkRpPmG-N2IqEo,https://www.google.com/maps/place/?q=place_id:ChIJI3Y_4r8p8zkRpPmG-N2IqEo,part_396,2026-09-20 20:19:57,6510
The Maharaja Resort,Resort,Banquet hall,Banquet hall,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 91559 99991,N/A,4.5,423.0,"Gayatri mandir road, Rosera, Bihar 848210",847121,25.750976899999998,86.0299421,ChIJu6jY0Y3x7TkR0lv-opRcfjg,https://www.google.com/maps/place/?q=place_id:ChIJu6jY0Y3x7TkR0lv-opRcfjg,part_396,2026-09-20 20:19:57,6511
SHEHNAI RESORT Hotel & Restaurant,Resort,Resort hotel,"Resort hotel, Restaurant",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,4.3,123.0,"Pipra Rd, Supaul, Bihar 852131",847121,26.1236276,86.609704,ChIJEf3KHQBF7jkRW6gg1dtSics,https://www.google.com/maps/place/?q=place_id:ChIJEf3KHQBF7jkRW6gg1dtSics,part_396,2026-09-20 20:19:57,6512
Anamika International,Resort,Resort hotel,Resort hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 73032 30270,N/A,3.9,62.0,"Road, Maithi, Muzaffarpur, Bihar 843118",Road,26.112587599999998,85.56217029999999,ChIJI6A74uYJ7TkRrV3sA6Bnjbs,https://www.google.com/maps/place/?q=place_id:ChIJI6A74uYJ7TkRrV3sA6Bnjbs,part_396,2026-09-20 20:19:57,6513
Hotel Bhawani Residency,Resort,Hotel,"Hotel, Banquet hall, Conference center",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 95465 80458,N/A,4.1,47.0,"Benta chowk, beside r b memorial hospital, Laheriasarai, Darbhanga, Bihar 846001","Benta, Laheriasarai",26.1277543,85.90410159999999,ChIJ4Wei2Fe57TkRpT06Suqjs00,https://www.google.com/maps/place/?q=place_id:ChIJ4Wei2Fe57TkRpT06Suqjs00,part_396,2026-09-20 20:19:57,6514
Darbhanga circuit House,Resort,Government office,Government office,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,5.0,1.0,"4W73+394, PWD Colony, Laheriasarai, Darbhanga, Bihar 846002","PWD Colony, Laheriasarai",26.1126462,85.9034473,ChIJVfHJRgC57TkR_OWWoPON7E4,https://www.google.com/maps/place/?q=place_id:ChIJVfHJRgC57TkR_OWWoPON7E4,part_396,2026-09-20 20:19:57,6515
The Buddha Resort,Resort,Resort hotel,"Resort hotel, Banquet hall, Gym, Hotel, Restaurant, Spa and health club, Swimming facility, Swimming pool, Wedding planner, Wedding venue",847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",+91 86030 48184,https://www.thebuddharesort.in/,4.6,,"Plot B-1, near Tekuna Farm, Industrial Area, Gaya Industrial Area, Gaya, Tikuna, Bihar 823004","Industrial Area, Gaya Industrial Area",24.727903599999998,84.96603619999999,ChIJE0UlgGEr8zkRXQlMT-dZGZA,https://www.google.com/maps/place/?q=place_id:ChIJE0UlgGEr8zkRXQlMT-dZGZA,part_396,2026-09-20 20:19:58,6516
Shivangi Resort,Resort,Resort hotel,Resort hotel,847121,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Keoti Ranway SO, ABabhangama BO, Ashraha BO",N/A,N/A,4.6,,"M56P+8GH, Garhpura - Bakhri Rd, Garhpura, Bihar 848204",847121,25.660819399999998,86.1863551,ChIJry6HWwD_7TkRPx0EbkL1mAE,https://www.google.com/maps/place/?q=place_id:ChIJry6HWwD_7TkRPx0EbkL1mAE,part_396,2026-09-20 20:19:59,6517
