business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hair Evolution,Hair Transplant Clinic,Hair replacement service,"Hair replacement service, Hair extension technician, Hair extensions supplier, Hair removal service, Hair transplantation clinic, Laser hair removal service, Skin care clinic, Hairdresser, Wig shop",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 91133 82399,N/A,4.9,564.0,"1st floor D, 82, near Sai lions Netralay eye Hospital, near Patliputra Sports complex, PC Colony, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","PC Colony, Kankarbagh, Lohia Nagar",25.5920761,85.1530265,ChIJ_bJUqCRZ7TkRm3VFsoky4hg,https://www.google.com/maps/place/?q=place_id:ChIJ_bJUqCRZ7TkRm3VFsoky4hg,part_396,2026-09-20 20:19:07,2916
LOOKS PLUS,Hair Transplant Clinic,Hair replacement service,"Hair replacement service, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Beauty supply store, Hair extension technician, Hair extensions supplier, Stylist, Hairdresser, Wig shop",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99055 55566,https://www.looksplus.in/,4.9,852.0,"At Bank Of India, B-77, Panch Mandir Road, near Shalimar Sweets, Housing Board Colony, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Housing Board Colony, Kankarbagh, Lohia Nagar",25.599373699999997,85.1480509,ChIJiZWTE1lY7TkRChRhYTs4_j0,https://www.google.com/maps/place/?q=place_id:ChIJiZWTE1lY7TkRChRhYTs4_j0,part_396,2026-09-20 20:19:07,2917
QHT Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Hair replacement service, Medical Center",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95281 68089,http://www.qhtclinic.com/,4.8,3187.0,"Delhi-Haridwar Highway, near HP Jagat Petrol Pump, Jwalapur, Haridwar, Uttarakhand 249407",847115,29.916846099999997,78.09066969999999,ChIJDYI2KUhGCTkR6Z6IqoxnFyE,https://www.google.com/maps/place/?q=place_id:ChIJDYI2KUhGCTkR6Z6IqoxnFyE,part_396,2026-09-20 20:19:07,2918
Ashu Aesthetic & Wellness Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Laser hair removal service, Pediatric dermatologist, Skin care clinic",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 73812 54569,http://www.ashuaestheticwellnessclinic.com/,5.0,222.0,"First Floor, Plot No 202, Biju Pattnaik College Rd, near IDBI Bank, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.296997599999997,85.819802,ChIJ9z4AJC4JGToRl6ej-Cdh3I8,https://www.google.com/maps/place/?q=place_id:ChIJ9z4AJC4JGToRl6ej-Cdh3I8,part_396,2026-09-20 20:19:07,2919
"Hi Handsome - Best Hair Patch Center, Hair Wigs in Patna, Hair Patch Service, Hair extensions in patna bihar",Hair Transplant Clinic,Wig shop,"Wig shop, Hair replacement service",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79790 09160,http://www.hihandsomeindia.com/,4.7,722.0,"1971/1A, Road, 09, Rajeev Nagar Rd, Patna, Bihar 800024",Indrapuri,25.6296686,85.095806,ChIJk4pTISVY7TkRM5abKVe4_eg,https://www.google.com/maps/place/?q=place_id:ChIJk4pTISVY7TkRM5abKVe4_eg,part_396,2026-09-20 20:19:07,2920
Hair treatment,Hair Transplant Clinic,Medical clinic,Medical clinic,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"4VQV+39W, Noorul Hassan Rd, Noorul Hasan Lane, Banker's Colony, Rahamganj, Darbhanga, Bihar 846004","Noorul Hasan Lane, Banker's Colony, Rahamganj",26.1377399,85.8934657,ChIJ2SYxRwC57TkRuOvwtEqPImk,https://www.google.com/maps/place/?q=place_id:ChIJ2SYxRwC57TkRuOvwtEqPImk,part_396,2026-09-20 20:19:07,2921
Be Handsome Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82715 80132,https://behandsomehtclinic.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,5.0,112.0,"230, 2nd floor, Cinema Rd, opp. Indian Bank ATM, Anwarpur, Hajipur, Bihar 844101",Anwarpur,25.6951839,85.21302899999999,ChIJwWq-fLRd7TkRbq7Ivf1WLKo,https://www.google.com/maps/place/?q=place_id:ChIJwWq-fLRd7TkRbq7Ivf1WLKo,part_396,2026-09-20 20:19:08,2922
"DIVYANSH SKIN,NAIL,HAIR care & LASER clinic",Hair Transplant Clinic,Skin care clinic,Skin care clinic,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 62993 26589,N/A,5.0,,"beside Indian gas godown, jaitipur mod, Chandi, Parri, Bihar 803108",jaitipur mod,25.3323643,85.39712639999999,ChIJ8T_-WByR8jkRH74WOYTB7wY,https://www.google.com/maps/place/?q=place_id:ChIJ8T_-WByR8jkRH74WOYTB7wY,part_396,2026-09-20 20:19:08,2923
ELEGANT CLINIC,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Skin care clinic",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 94306 67592,https://www.elegantclinicpatna.com/,4.9,185.0,"Pillar Number-58, Ali Market, 1st Floor, Bailey Rd, near by IGIMS Hospital, Raja Bazar, Patna, Bihar 800014","Samanpura, Raja Bazar, Khajpura",25.6045995,85.0862343,ChIJY57yxPhX7TkR1hFgnCrYWng,https://www.google.com/maps/place/?q=place_id:ChIJY57yxPhX7TkR1hFgnCrYWng,part_396,2026-09-20 20:19:08,2924
Dr Abhishek Hair Transplant skin laser slimming & cosmetic surgery Clinic,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.8,4.0,"Dr Abhishek Hair Transplant skin laser slimming & cosmetic surgery Clinic Hair Loss , Fall & Baldness Treatment , Fue Surgery , Natural permanent Hair Growth skin chemical peel & Prp Treatment, Gewalbigha, Gaya, Bihar 823001",Gewalbigha,24.784487199999997,84.991948,ChIJUb8CNRcr8zkRTYs9eaQmcnQ,https://www.google.com/maps/place/?q=place_id:ChIJUb8CNRcr8zkRTYs9eaQmcnQ,part_396,2026-09-20 20:19:08,2925
