business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dhanraj Electric & Plumber Mistri,Plumber,Plumber,"Plumber, Electrician",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95761 66929,N/A,4.9,,"Ranipokhar, Chowk, Hajipur Mahua Road, near Central Bank, behind Amrit Medical Hall, Bihar 844116",844116,25.7714496,85.3263396,ChIJ0VMpjkhn7TkR4lwAbqCQoY4,https://www.google.com/maps/place/?q=place_id:ChIJ0VMpjkhn7TkR4lwAbqCQoY4,part_394,2026-09-20 20:19:05,2636
Laguraon Electrical & plumber contactor mistri,Plumber,Electrical installation service,Electrical installation service,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.9,,"Q86J+HH7, Lagrahahai, Bilandpur, Laguraon, Bihar 844116",Lagrahahai,25.7613983,85.3314243,ChIJx1iNPzxn7TkR7pEeqr_jNSw,https://www.google.com/maps/place/?q=place_id:ChIJx1iNPzxn7TkR7pEeqr_jNSw,part_394,2026-09-20 20:19:05,2637
Shop,Plumber,Plumber,Plumber,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,,,"Q85W+G9F, Bakarpur, Bihar 844116",844116,25.7588108,85.3459238,ChIJFdW_IgBn7TkR4KOH5mSjplI,https://www.google.com/maps/place/?q=place_id:ChIJFdW_IgBn7TkR4KOH5mSjplI,part_394,2026-09-20 20:19:05,2638
Vaisali Plumbing Work bathroom body zet fountains & modular kitchen,Plumber,Plumber,"Plumber, Electrician, Plumbing supply store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94310 37775,https://vaishali-plumbing.netlify.app/,4.7,,"iti gate 97, Digha Ghat, Patna, Bihar 800010",Digha Ghat,25.6383872,85.10054269999999,ChIJXbowUUJZ7TkRn2eHEuVSz0I,https://www.google.com/maps/place/?q=place_id:ChIJXbowUUJZ7TkRn2eHEuVSz0I,part_394,2026-09-20 20:19:05,2639
Rajeev Plumbing services Hajipur,Plumber,Plumber,Plumber,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95044 24949,N/A,5.0,,"Thana Chowk, Hajipur, Bihar 844101",844116,25.692435399999997,85.20832399999999,ChIJMSlO7E5d7TkRiyJvq7AC6GQ,https://www.google.com/maps/place/?q=place_id:ChIJMSlO7E5d7TkRiyJvq7AC6GQ,part_394,2026-09-20 20:19:05,2640
vicky plumber services,Plumber,Plumber,"Plumber, Bathroom remodeler, Kitchen remodeler, Plumbing supply store, Portable toilet supplier, Water Filter Supplier, Water Tank Cleaners, Waterbed repair service",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76448 75977,N/A,5.0,57.0,"Gauspur Izra, izra balwa road, near Purva tawer, Hajipur, Bihar 844103",844116,25.7323889,85.2134536,ChIJNRm4LhRd7TkR4CEgyMRhK0U,https://www.google.com/maps/place/?q=place_id:ChIJNRm4LhRd7TkR4CEgyMRhK0U,part_394,2026-09-20 20:19:06,2641
Plumber Wallah,Plumber,Plumber,Plumber,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 97980 40975,N/A,4.7,184.0,"Jagdeo Path, Khajpura, Patna, Bihar 800014",Khajpura,25.6057094,85.07541669999999,ChIJ1xX6xCxX7TkRdG63czwnwl4,https://www.google.com/maps/place/?q=place_id:ChIJ1xX6xCxX7TkRdG63czwnwl4,part_394,2026-09-20 20:19:06,2642
Rahul plumber Hajipur,Plumber,Plumber,Plumber,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,3.0,"Pokhra mohalla, Gudri Rd, Hajipur, Bihar 844101",Pokhra Muhalla,25.685113299999998,85.2126864,ChIJ-Yl_Hj9d7TkRoAf1Y2Uzpek,https://www.google.com/maps/place/?q=place_id:ChIJ-Yl_Hj9d7TkRoAf1Y2Uzpek,part_394,2026-09-20 20:19:06,2643
GS Plumbing and Heating Hajipur,Plumber,Plumbing supply store,Plumbing supply store,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,5.0,22.0,"Masjid Chowk, Magarhatta, Hajipur, Bihar 844101",Magarhatta,25.6850137,85.2066859,ChIJAeClsQ5d7TkRPdrUAFbFiSQ,https://www.google.com/maps/place/?q=place_id:ChIJAeClsQ5d7TkRPdrUAFbFiSQ,part_394,2026-09-20 20:19:50,6619
Quick plumber service,Plumber,Home health care service,Home health care service,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 90314 04031,https://quickplumberservice.com/,5.0,1.0,"Ghandhi chowk, Hajipur, Bihar 844101",844117,25.6919607,85.2102379,ChIJZfwvP_5d7TkROiIySOqdOmo,https://www.google.com/maps/place/?q=place_id:ChIJZfwvP_5d7TkROiIySOqdOmo,part_394,2026-09-20 20:19:50,6620
