business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Discovery World School,School,General education school,General education school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 70791 39032,http://www.discoveryworldschool.in/,,,"Bilandpur Rd, Bakarpur, Bihar 844116",844116,25.758566199999997,85.33905229999999,ChIJ5XVLH3Nn7TkRgNmWIc8IZ6k,https://www.google.com/maps/place/?q=place_id:ChIJ5XVLH3Nn7TkRgNmWIc8IZ6k,part_394,2026-09-20 20:19:14,3588
NATURE FIELD PUBLIC SCHOOL,School,Middle school,Middle school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93044 05158,http://psbi.site/nfps,,,"Vill+po:-Basara,ps:-Rajapakar,Dist:-Vaishali, Rajapakar - Mahuwa Rd, Basarha, Bihar 844124",844116,25.743748099999998,85.3591927,ChIJ56Z_-c9l7TkRXAi4d5zKSio,https://www.google.com/maps/place/?q=place_id:ChIJ56Z_-c9l7TkRXAi4d5zKSio,part_394,2026-09-20 20:19:14,3589
Delhi Public School,School,CBSE School,CBSE School,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 96812 33111,N/A,,,"100, Kanhauli Bishunpur Parsi, Bihar 844122",844116,25.7875196,85.36021649999999,ChIJrynOE_Vv7TkRm2Bq3X210qY,https://www.google.com/maps/place/?q=place_id:ChIJrynOE_Vv7TkRm2Bq3X210qY,part_394,2026-09-20 20:19:14,3590
Anshu Memorial Academy,School,Primary school,"Primary school, Coaching Center, Education center, Educational institution",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 91282 89100,https://anshumemorial.in/,,,"Bhatha Chowk, Bhatha Dasi, Rajapakar, Bihar 844124",Bhatha Chowk,25.7506403,85.3590844,ChIJNSiIoN5l7TkRyzteJCumOPE,https://www.google.com/maps/place/?q=place_id:ChIJNSiIoN5l7TkRyzteJCumOPE,part_394,2026-09-20 20:19:14,3591
Shrimati Ram Sumari Devi High School,School,Senior high school,Senior high school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,,,"Kernpura, Bihar 844116",844116,25.766850899999998,85.3242784,ChIJ8_EjTyVm7TkR2Q2qm8zZf2M,https://www.google.com/maps/place/?q=place_id:ChIJ8_EjTyVm7TkR2Q2qm8zZf2M,part_394,2026-09-20 20:19:14,3592
St. John’s Academy,School,CBSE School,CBSE School,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94729 20211,https://stjohnsacademymahua.com/,,,"Mahua Rd, Pratap Chowk, Vishunpur Hiraram Urf Paharpur, Bihar 844122",Pratap Chowk,25.8099372,85.36428579999999,ChIJ_V6u8jBv7TkR8M6xeNvMhAQ,https://www.google.com/maps/place/?q=place_id:ChIJ_V6u8jBv7TkR8M6xeNvMhAQ,part_394,2026-09-20 20:19:14,3593
नन्दू सिंह उच्च माध्यमिक विद्यालय,School,Secondary school,Secondary school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,,,"Q8G3+GRF, Dharampur Rd, Fatehpur Phulwaria, Bihar 844116",844116,25.7763004,85.3045544,ChIJsVZT59dn7TkR0h3j-F6fN9k,https://www.google.com/maps/place/?q=place_id:ChIJsVZT59dn7TkR0h3j-F6fN9k,part_394,2026-09-20 20:19:14,3594
RAHUL GAURAV VIDYA MANDIR राहुल गौरव विद्या मंदिर,School,Secondary school,Secondary school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,http://rahulgauravvidyamandir.in/,,,"Desari - Mahua Rd, Vaishali, Hasanpur Bhadwas, Bihar 844122",Vaishali,25.7532683,85.4063865,ChIJLcCtgA1l7TkRpyJPeG5AY0A,https://www.google.com/maps/place/?q=place_id:ChIJLcCtgA1l7TkRpyJPeG5AY0A,part_394,2026-09-20 20:19:14,3595
Aryabhatta Brilliant Public School,School,General education school,General education school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 97085 87346,N/A,,,"Q8CJ+PJW, Bishunpur Udho Urf Dumri, Bihar 844116",844116,25.7718509,85.3315854,ChIJEbsFfyFm7TkRH58Lgf1F8FU,https://www.google.com/maps/place/?q=place_id:ChIJEbsFfyFm7TkRH58Lgf1F8FU,part_394,2026-09-20 20:19:14,3596
Rajkiya Buniyadi Vidyalaya,School,General education school,General education school,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,,,"SH-49, Bihar State Highway Road, Bishunpur Parsi, Kanhauli Bishunpur Parsi, Vaishali, Bihar 844128",Bishunpur Parsi,25.790149699999997,85.364442,ChIJ41BTHFBv7TkRqIv6ArtrU9Q,https://www.google.com/maps/place/?q=place_id:ChIJ41BTHFBv7TkRqIv6ArtrU9Q,part_394,2026-09-20 20:19:14,3597
