business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"पंचायत भवन अदलपुर, दरभंगा",Offices,Regional government office,Regional government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"52WF+HRM, Adalpur, Kakarghatti, Bihar 847115",847115,26.1970797,86.0240154,ChIJTyeCZQDP7TkRu-8GEhpQYyA,https://www.google.com/maps/place/?q=place_id:ChIJTyeCZQDP7TkRu-8GEhpQYyA,part_396,2026-09-20 20:19:30
अकील फ़ैज़ी राजू -Aquil Faizi Raju (President Loam ),Offices,Government office,Government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,http://sites.google.com/view/vcmsportal,4.3,4.0,"Ps, Office of President ,H No-14 Near Rahmani market ,Loam, Distt, sadar, Darbhanga, Bihar 847115",sadar,26.216809299999998,85.999265,ChIJvxU6HXzJ7TkRiMdP38V24LU,https://www.google.com/maps/place/?q=place_id:ChIJvxU6HXzJ7TkRiMdP38V24LU,part_396,2026-09-20 20:19:30
KHARUA POST OFFICE,Offices,Post office,Post office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99733 39582,N/A,3.2,11.0,"5XJW+773, Kharua, Bhindi, Bihar 847115",847115,26.1806399,85.9956641,ChIJVVVVlaPI7TkR5WAUV21Hztg,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlaPI7TkR5WAUV21Hztg,part_396,2026-09-20 20:19:30
Panchayat bhawan(Land survey office),Offices,Government office,Government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,2.0,"6227+CR9, Muria, Kakarghatti, Bihar 847115",847115,26.2010342,86.0145941,ChIJk0xenKXP7TkRL7kkvmXbEpI,https://www.google.com/maps/place/?q=place_id:ChIJk0xenKXP7TkRL7kkvmXbEpI,part_396,2026-09-20 20:19:30
Supriya krishi kendra laxmipur darbhanga,Offices,Chamber of agriculture,Chamber of agriculture,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"52H5+G26, Telhan (laxmipur, Tethan, Bihar 847115",847115,26.178799299999998,86.0075246,ChIJmSJFWGPJ7TkRfmpj3ewWkMM,https://www.google.com/maps/place/?q=place_id:ChIJmSJFWGPJ7TkRfmpj3ewWkMM,part_396,2026-09-20 20:19:30
"मिथला सब्जी प्रसंस्करण विपणन सहकारी संघ लिमिटेड दरभंगा, बिहार",Offices,Government office,Government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"5XVV+7P8, Sobhan, Khajuri, Bihar 847115",847115,26.193151399999998,85.9943256,ChIJD4mnWDTJ7TkRJ2a-AJ4ODSo,https://www.google.com/maps/place/?q=place_id:ChIJD4mnWDTJ7TkRJ2a-AJ4ODSo,part_396,2026-09-20 20:19:30
पंचायत सरकार भवन अतिहर,Offices,Government office,Government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,1.0,"5XCP+RCQ, Dih Berai, Bihar 847115",847115,26.1721409,85.9861628,ChIJl9-dLgDH7TkR7t7CRKUeEg8,https://www.google.com/maps/place/?q=place_id:ChIJl9-dLgDH7TkR7t7CRKUeEg8,part_396,2026-09-20 20:19:30
Muria Sub Postoffice,Offices,Post office,Post office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.7,3.0,"52X6+X3Q, Muria, Kakarghatti, Bihar 847115",847115,26.199966999999997,86.01021949999999,ChIJF88ZjsrI7TkR9832DXpOsQc,https://www.google.com/maps/place/?q=place_id:ChIJF88ZjsrI7TkR9832DXpOsQc,part_396,2026-09-20 20:19:30
5XJW+33C HEAD OFFICE,Offices,Building,Building,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"5XJW+33C, near green house, Kharua, Bhindi, Bihar 847115",847115,26.1801943,85.9951133,ChIJyzCdZaHI7TkREduyhRy26Vg,https://www.google.com/maps/place/?q=place_id:ChIJyzCdZaHI7TkREduyhRy26Vg,part_396,2026-09-20 20:19:30
Word 05pani tanki Kharthua Darbhanga bihar,Offices,Government office,Government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"5XR9+4W7, Kharthua Rd, Kharthua, Bihar 847115",847115,26.190287599999998,85.9697831,ChIJL7pGZQDJ7TkRIlRo9Ddq8JM,https://www.google.com/maps/place/?q=place_id:ChIJL7pGZQDJ7TkRIlRo9Ddq8JM,part_396,2026-09-20 20:19:30
5XHW+X65 HEAD OFFICE,Offices,Building,Building,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"5XHW+X65, near green house, Kharua, Bhindi, Bihar 847115",847115,26.179886099999997,85.99563169999999,ChIJzfxrQqHI7TkRDNGxZUhS_kU,https://www.google.com/maps/place/?q=place_id:ChIJzfxrQqHI7TkRDNGxZUhS_kU,part_396,2026-09-20 20:19:30
5XJW+773 HEAD OFFICE,Offices,Building,Building,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"5XJW+773, near green house, Kharua, Bhindi, Bihar 847115",847115,26.1806694,85.99563169999999,ChIJPQszXqHI7TkROtYIFsibwDE,https://www.google.com/maps/place/?q=place_id:ChIJPQszXqHI7TkROtYIFsibwDE,part_396,2026-09-20 20:19:30
"Panchayat Bhavan Dularpur,Darbhanga",Offices,Local government office,Local government office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,4.0,"62FP+89C, Supaul, Ruchaul, Bihar 847239",847115,26.223321199999997,86.035906,ChIJpVgbY2PP7TkRZAks9TyuHq0,https://www.google.com/maps/place/?q=place_id:ChIJpVgbY2PP7TkRZAks9TyuHq0,part_396,2026-09-20 20:19:30
Dhariwal builtech limited,Offices,Corporate office,Corporate office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,,,"5XQ2+JFV, Darbhanga Bypass East-West Expressway, Basaila, Bihar 847115",847115,26.189113199999998,85.95118339999999,ChIJx4s1QADJ7TkRMQEsYSxNpfA,https://www.google.com/maps/place/?q=place_id:ChIJx4s1QADJ7TkRMQEsYSxNpfA,part_396,2026-09-20 20:19:30
Post office,Offices,Post office,Post office,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,3.0,3.0,"7X2V+87M taluk of, Darbhanga, Chhatwan, Bihar 847337",847115,26.250844999999998,85.9931809,ChIJpd5njUHJ7TkRaByO_wZ3FwA,https://www.google.com/maps/place/?q=place_id:ChIJpd5njUHJ7TkRaByO_wZ3FwA,part_396,2026-09-20 20:19:30
