business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tattoo Lover's Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95763 83902,https://www.facebook.com/Tattoo-Lovers-studio-1057650054275996/,4.6,166.0,"DMCH Rd, Laheriasarai, Darbhanga, Bihar 846004",Laheriasarai,26.133396599999998,85.8969503,ChIJLfp1VUW47TkRTH0Gp_6NoRA,https://www.google.com/maps/place/?q=place_id:ChIJLfp1VUW47TkRTH0Gp_6NoRA,part_396,2026-09-20 20:19:07
Inkbuzz Tattoo Adda,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82107 03604,N/A,5.0,10.0,"Darbhanga - Sakri Rd, Gangwara, Darbhanga, Bihar 846004",Gangwara,26.1697503,85.90644879999999,ChIJlUBBY2a57TkRORzSerGEMKk,https://www.google.com/maps/place/?q=place_id:ChIJlUBBY2a57TkRORzSerGEMKk,part_396,2026-09-20 20:19:07
Friend Tattoos,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.3,13.0,"5V3X+WJ9, Rajkumarganj, Kathalbari, Darbhanga, Bihar 846004","Rajkumarganj, Kathalbari",26.1547999,85.89912129999999,ChIJOX2CrTC47TkRRcafPT349rk,https://www.google.com/maps/place/?q=place_id:ChIJOX2CrTC47TkRRcafPT349rk,part_396,2026-09-20 20:19:07
Kamlesh tattoo,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,4.5,12.0,"9357+FR7, RK College Campus Rd, Baingra, Madhubani, Bihar 847213",Baingra,26.3586617,86.0645583,ChIJJ3GBPwDN7TkRZjgGKWiuIIY,https://www.google.com/maps/place/?q=place_id:ChIJJ3GBPwDN7TkRZjgGKWiuIIY,part_396,2026-09-20 20:19:07
KUMAR Tattoo Studio,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95072 05061,N/A,4.8,1076.0,"national, Cinema Rd, JP Colony, Hajipur, Bihar 844101",JP Colony,25.693055299999997,85.21223309999999,ChIJ-a0Z-RBd7TkRMYaHwc0ashE,https://www.google.com/maps/place/?q=place_id:ChIJ-a0Z-RBd7TkRMYaHwc0ashE,part_396,2026-09-20 20:19:07
tattoo makerz,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 74884 88947,http://thetattoomakerz.in/,4.8,991.0,"Shop No.8, Gangotri Complex, Boring Rd, opp. Harihar Chambers, Nageshwar Colony, Kidwaipuri, Patna, Bihar 800001","Nageshwar Colony, Kidwaipuri",25.6117687,85.1201901,ChIJr1zPMot-DRQRIoij7LkuvRw,https://www.google.com/maps/place/?q=place_id:ChIJr1zPMot-DRQRIoij7LkuvRw,part_396,2026-09-20 20:19:08
Angel Spa,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Beautician, Eyelash salon, Health and beauty shop, Beauty Parlour, Spa, Tattoo and piercing shop, Tattoo artist, Tattoo removal service, Tattoo shop",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 76673 03007,https://www.instagram.com/angel_spa_darbhanga?igsh=MXR1MGplbDdicWFhZw==,4.9,162.0,"Sai Baba Chowk, Laheriasarai, Darbhanga, Bihar 846001",Laheriasarai,26.118906199999998,85.8920758,ChIJpVnYJva57TkRI2EfiQ_PzqI,https://www.google.com/maps/place/?q=place_id:ChIJpVnYJva57TkRI2EfiQ_PzqI,part_396,2026-09-20 20:19:08
Mj ink tattooz,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 99883 84253,https://mj-ink-tattooz.grexa.site/,4.8,276.0,"Shop No. 105, First Floor, V2 Mall, Maharaja Kameshwar Complex, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6072526,85.1381009,ChIJU0CVuyhZ7TkR88QP_yLnn1s,https://www.google.com/maps/place/?q=place_id:ChIJU0CVuyhZ7TkR88QP_yLnn1s,part_396,2026-09-20 20:19:08
Kamal Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 95186 43825,N/A,5.0,37.0,"Daak Bangla road, near Sarkari Hospital, Mallehpur, Jamui, Bihar 811313",847115,24.8948488,86.9148115,ChIJ0TkKtnUp8jkRYX61Rf4Yvco,https://www.google.com/maps/place/?q=place_id:ChIJ0TkKtnUp8jkRYX61Rf4Yvco,part_396,2026-09-20 20:19:08
Arun Tattoo & Mehandi studio,Tattoo and Nail Art Studio,Tattoo artist,Tattoo artist,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",N/A,N/A,5.0,8.0,"Nagar Palika Rd, near HDFC BANK, opp. side Bengal market, Kalibari, Khagaria, Bihar 851204",Kalibari,25.503945299999998,86.4692209,ChIJR6rwBqPl8TkReNUlpt7R34s,https://www.google.com/maps/place/?q=place_id:ChIJR6rwBqPl8TkReNUlpt7R34s,part_396,2026-09-20 20:19:08
