business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The event wallah,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Party planner, Transportation service, Event planner, Wedding venue",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 72730 92737,https://www.instagram.com/the_event_wallah/profilecard/?igsh=MWxjenkyZ2tlbTAxaA==,4.9,47.0,"DURGA MANDIR, Chunabhatti, Lakshmisagar, Darbhanga, Bihar 846009","Chunabhatti, Lakshmisagar",26.1658877,85.9093181,ChIJ5Xt2agC57TkRdIam7ACdGd8,https://www.google.com/maps/place/?q=place_id:ChIJ5Xt2agC57TkRdIam7ACdGd8,part_396,2026-09-20 20:19:09
Badhaai Ho Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Caterer, DJ service, Event management company, Event planner, Party planner, Wedding photographer, Wedding service",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 79033 02850,https://www.instagram.com/badhaai_ho_events07?igsh=MTI2YzBsMncyZjY5YQ%3D%3D&utm_source=qr,4.9,31.0,"HO, Hasan Chowk Road, near Petrol Pump, Hassan Chak, Bada Bazar, Lal Bagh, Darbhanga, Bihar 846004","Hassan Chak, Bada Bazar, Lal Bagh",26.156200199999997,85.89318999999999,ChIJI_PzJO257TkRd4eOmpO2zhw,https://www.google.com/maps/place/?q=place_id:ChIJI_PzJO257TkRd4eOmpO2zhw,part_396,2026-09-20 20:19:09
Dream Wedding Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Tent House Supplier",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 74883 31430,http://www.dreamweddingplanner.in/,4.8,38.0,"Rahamganj West M.L.A. Road, Bihar 846004","Banker's Colony, Donar",26.136202299999997,85.8952874,ChIJP4BrAlK47TkRdXGzIvp-BZU,https://www.google.com/maps/place/?q=place_id:ChIJP4BrAlK47TkRdXGzIvp-BZU,part_396,2026-09-20 20:19:09
"Maa Gayatri tent house,event planning and flower decorating service darbhanga bihar",Event Planners/Wedding Planners,Wedding planner,Wedding planner,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82104 84023,N/A,4.8,24.0,"road, Pandasarai Rd, near Burn hospital, Pandasarai, Darbhanga, Bihar 846002",Pandasarai,26.1045239,85.8994737,ChIJq9f6j1657TkRwrFLkVF_quw,https://www.google.com/maps/place/?q=place_id:ChIJq9f6j1657TkRwrFLkVF_quw,part_396,2026-09-20 20:19:09
Shreepoint Event Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 70302 30076,N/A,4.5,60.0,"NEEMPOKHAR, Sundarpur, Kadirabad, Darbhanga, Bihar 846004",Sundarpur,26.1710006,85.89138609999999,ChIJOVM9VTG47TkR43X53hV8rUE,https://www.google.com/maps/place/?q=place_id:ChIJOVM9VTG47TkR43X53hV8rUE,part_396,2026-09-20 20:19:09
The Wedding Planner,Event Planners/Wedding Planners,Wedding planner,Wedding planner,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 78088 79031,https://www.instagram.com/the_wedding_planner_1?igsh=ZXp2ZWtxYW1yamk1,5.0,20.0,"Quilaghat, Gullowara, Darbhanga, Bihar 846006","Quilaghat, Gullowara",26.1486162,85.8853711,ChIJqwalcLq57TkRwxPVctoBytY,https://www.google.com/maps/place/?q=place_id:ChIJqwalcLq57TkRwxPVctoBytY,part_396,2026-09-20 20:19:09
Event Wala Vikash,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 82103 28330,N/A,5.0,27.0,"Vikash Kumar, Gangasagar, Madarpur, Darbhanga, Bihar 846004",Madarpur,26.1444525,85.9034781,ChIJceCgDcK57TkR4v-R-ZUPIOA,https://www.google.com/maps/place/?q=place_id:ChIJceCgDcK57TkR4v-R-ZUPIOA,part_396,2026-09-20 20:19:09
Tulsi Event,Event Planners/Wedding Planners,Banquet hall,Banquet hall,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 91222 49790,https://www.facebook.com/profile.php?id=100083342912507,4.9,251.0,"Mohalla Madarpur, Do, Darbhanga, Bihar 846004","Banker's Colony, Donar",26.1403088,85.9019301,ChIJ_02HRLi57TkRSDQ0dE0g0AE,https://www.google.com/maps/place/?q=place_id:ChIJ_02HRLi57TkRSDQ0dE0g0AE,part_396,2026-09-20 20:19:09
Good Vibes Event & wedding planner,Event Planners/Wedding Planners,Event planner,Event planner,847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 77658 64926,https://instagram.com/goodvibes_event_?igshid=YmMyMTA2M2Y=,5.0,4.0,"Naka 05, Captain Complex, Quilaghat, Rahamganj, Darbhanga, Bihar 846004","Quilaghat, Rahamganj",26.1452346,85.8975102,ChIJDUOiNyq57TkRFbt4vYksV1s,https://www.google.com/maps/place/?q=place_id:ChIJDUOiNyq57TkRFbt4vYksV1s,part_396,2026-09-20 20:19:09
MITHILA MARRIAGE SERVICES,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Banquet hall, Event management company, Photography studio, Restaurant supply store, Tent House Supplier",847115,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Muria SO, Adalpur BO, Bijuli BO",+91 75575 58958,http://www.youtube.com/c/MITHILAMARRIAGESERVICES,4.7,175.0,"chatti chowk infront of durga mandir, 2nd floor, Bihar 846001","Benta, Laheriasarai",26.116065499999998,85.9055949,ChIJVSRcLoi57TkRdEUO30a81iM,https://www.google.com/maps/place/?q=place_id:ChIJVSRcLoi57TkRdEUO30a81iM,part_396,2026-09-20 20:19:09
