business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jaiswal Hardware,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 96616 82331,N/A,4.3,6.0,"C4RQ+6PC, Madhuban Rd, Chakia, Bihar 845420",845420,26.4405729,85.13927369999999,ChIJO8v1m9jb7DkR4Q5O-xaRXzQ,https://www.google.com/maps/place/?q=place_id:ChIJO8v1m9jb7DkR4Q5O-xaRXzQ,part_395,2026-09-20 20:18:58,2804
Madhuban Hardware Stores,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.6,12.0,"C4RP+9VJ Ashok Chowk, Gupta Colony Rd, near Ashok Chowk, Madhuban North, Bihar 845420",845420,26.441137599999998,85.13709089999999,ChIJs8Q1dqjb7DkRyPNSZKQGy9s,https://www.google.com/maps/place/?q=place_id:ChIJs8Q1dqjb7DkRyPNSZKQGy9s,part_395,2026-09-20 20:18:58,2805
ANANTA PLY & HARDWARE,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 70504 16821,N/A,3.8,5.0,"C4RP+HVQ, Mela Bazar Rd, near gas agency, Madhuban North, Bihar 845420",845420,26.4414502,85.1372207,ChIJh8q4ZiXa7DkRxlLmFkLatIo,https://www.google.com/maps/place/?q=place_id:ChIJh8q4ZiXa7DkRxlLmFkLatIo,part_395,2026-09-20 20:18:58,2806
Ujjawal Hardware And ply Store,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 62029 31397,N/A,,,"Post office road, Madhuban North, Bihar 845420",845420,26.4423067,85.1396628,ChIJG0ocCcTb7DkRTjadg03_o4M,https://www.google.com/maps/place/?q=place_id:ChIJG0ocCcTb7DkRTjadg03_o4M,part_395,2026-09-20 20:18:58,2807
Balaji Enterpriz,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 94300 75108,N/A,,,"Post office Road, Madhuban North, Bihar 845420",845420,26.4418932,85.1392572,ChIJi-wUgg3b7DkRY_tSUW_P87s,https://www.google.com/maps/place/?q=place_id:ChIJi-wUgg3b7DkRY_tSUW_P87s,part_395,2026-09-20 20:18:58,2808
BABA ENTERPRISES,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 89694 64765,N/A,5.0,3.0,"SHOP NO 445, Mela Bazar Rd, Madhuban North, Bihar 845420",845420,26.4353339,85.1311374,ChIJE8MKw7Lb7DkRdf2D543vmyk,https://www.google.com/maps/place/?q=place_id:ChIJE8MKw7Lb7DkRdf2D543vmyk,part_395,2026-09-20 20:18:58,2809
ANKK Traders,Hardware Store,Building materials supplier,"Building materials supplier, Hardware store",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 83830 94053,N/A,4.6,22.0,"Post, Jogaulia Tola Gulab Khan, Rupni, Bihar 845420",Post,26.461264099999998,85.087085,ChIJWcR80c3R7DkRAUHAiK7-w2g,https://www.google.com/maps/place/?q=place_id:ChIJWcR80c3R7DkRAUHAiK7-w2g,part_395,2026-09-20 20:18:58,2810
Shyam Traders,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 82929 44700,N/A,5.0,2.0,"Punder Chowk, Madhuban Rd, near Vishar Aasthan, Motihari, Bihar 845420",845420,26.4301007,85.1581532,ChIJOXsuJiDZ7DkR9bhjHB1Z4gY,https://www.google.com/maps/place/?q=place_id:ChIJOXsuJiDZ7DkR9bhjHB1Z4gY,part_395,2026-09-20 20:18:58,2811
Sunil Pipe & Bath Fitting,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 92347 31454,N/A,5.0,1.0,"Sunil pipe & bath fittings, ost office road, Madhuban North, Bihar 845420",845420,26.441957499999997,85.13941349999999,ChIJYeSR95Db7DkRKMIAD8sgVk4,https://www.google.com/maps/place/?q=place_id:ChIJYeSR95Db7DkRKMIAD8sgVk4,part_395,2026-09-20 20:18:58,2812
A one ply & hardware,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91173 06735,N/A,5.0,4.0,"New bypass NH 27, muzzafarpur Rd, Chakia, Bihar 845412",845420,26.4137252,85.06031449999999,ChIJ4YunRAvX7DkRr-KCL9LgzYo,https://www.google.com/maps/place/?q=place_id:ChIJ4YunRAvX7DkRr-KCL9LgzYo,part_395,2026-09-20 20:18:58,2813
Highway hardware and plumbing centre,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"F3V7+QG, Jitaura, Bihar 845414",845420,26.494426999999998,85.063766,ChIJnUEkRgDR7DkRHDDWqQPUujA,https://www.google.com/maps/place/?q=place_id:ChIJnUEkRgDR7DkRHDDWqQPUujA,part_395,2026-09-20 20:18:58,2814
Highway Hardware & Plumbing Center,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 98013 81786,https://www.facebook.com/Highway-Hardware-Plumbing-Center-1870154739717715/?modal=admin_todo_tour,4.4,28.0,"NH104, Chorma, Bihar 845414",845420,26.5104738,85.0752687,ChIJk1wtUh7R7DkRlUlxuu3F8Dk,https://www.google.com/maps/place/?q=place_id:ChIJk1wtUh7R7DkRlUlxuu3F8Dk,part_395,2026-09-20 20:18:58,2815
LAXMI CYBER CAFE AND PLUMBER STORES AND HARDWARE,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91027 79448,N/A,5.0,1.0,"Pakridayal - Madhuban - Minapur Rd, MAIN ROAD, Rajepur, Tetaria, Bihar 845436",845420,26.4055981,85.19300969999999,ChIJu34E0pff7DkR0T1n2T5G3Os,https://www.google.com/maps/place/?q=place_id:ChIJu34E0pff7DkR0T1n2T5G3Os,part_395,2026-09-20 20:18:58,2816
Sharma tractor spare & Rotavator parts,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91626 64066,N/A,4.0,2.0,"Mela Bazaar Rd, Madhuban North, Talimpur, Bihar 845420",845420,26.444214,85.132576,ChIJ2T-jeADb7DkRJTxXKAMs70A,https://www.google.com/maps/place/?q=place_id:ChIJ2T-jeADb7DkRJTxXKAMs70A,part_395,2026-09-20 20:18:58,2817
Ananya Enterprises,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 88736 95718,N/A,,,"Pakridayal - Madhuban - Minapur Rd, , Talimpur NH-104, Bihar 845420",845420,26.4448544,85.1360906,ChIJp6myOYjb7DkRJC1bUKSyQCs,https://www.google.com/maps/place/?q=place_id:ChIJp6myOYjb7DkRJC1bUKSyQCs,part_395,2026-09-20 20:18:58,2818
Asian house Hardware & Tools,Hardware Store,Hardware store,Hardware store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,4.0,"Madhuban Rd, Chakia, Bihar 845412",845420,26.4157108,85.0497699,ChIJmYGoUpnX7DkRV8OFMsigLLQ,https://www.google.com/maps/place/?q=place_id:ChIJmYGoUpnX7DkRV8OFMsigLLQ,part_395,2026-09-20 20:18:58,2819
RAJAN ENTERPRISES /( साहू हार्डवेयर ),Hardware Store,Paint store,Paint store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 80834 93061,N/A,5.0,3.0,"aloo gola road, Ashok chowk, Madhuban North, Bihar 845420",845420,26.4409738,85.1372617,ChIJ9e0GBrXb7DkR9nDMozOhcsk,https://www.google.com/maps/place/?q=place_id:ChIJ9e0GBrXb7DkR9nDMozOhcsk,part_395,2026-09-20 20:18:58,2820
