business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bihar False Ceiling Designer,False Ceiling Contractor,Interior construction contractor,Interior construction contractor,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 97083 20616,N/A,,,"Kesariya Rd, Raniganj, Raniganj Mohhala, Chakia, Bihar 845412","Raniganj, Raniganj Mohhala",26.4147499,85.0463972,ChIJ9bv2_4HX7DkR3p_ieRLNs2M,https://www.google.com/maps/place/?q=place_id:ChIJ9bv2_4HX7DkR3p_ieRLNs2M,part_395,2026-09-20 20:19:01,3328
LaltiDhari Iron and Steel False Ceiling,False Ceiling Contractor,Ceiling supplier,Ceiling supplier,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 85441 40455,N/A,4.9,102.0,"Uran Tola devi Mandir, usri ,shahpur, to, sivala road, behind hero parts company, Patna, Usri, Bihar 801105",Khagaul,25.5913272,85.0288968,ChIJfVpVz_tV7TkRS98wcLG3Ahs,https://www.google.com/maps/place/?q=place_id:ChIJfVpVz_tV7TkRS98wcLG3Ahs,part_395,2026-09-20 20:19:02,3329
True Ceiling,False Ceiling Contractor,Interior fitting contractor,"Interior fitting contractor, Gypsum Product Supplier, Interior Decorator, Painter",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 79722 37015,http://trueceiling.in/,5.0,12.0,"Plot No 28, Lane Number 2, Shyam Nagar, Asif Nagar North, Hyderabad, Telangana 500006","Shyam Nagar, Asif Nagar North",17.383781199999998,78.453606,ChIJJ8MKZgCXyzsRl4gTYznxS2g,https://www.google.com/maps/place/?q=place_id:ChIJJ8MKZgCXyzsRl4gTYznxS2g,part_395,2026-09-20 20:19:02,3330
M.K. CEILING & DECOR,False Ceiling Contractor,Interior Decorator,"Interior Decorator, Ceiling supplier, Gypsum Product Supplier, Wallpaper store",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 78570 25898,https://www.instagram.com/m.kceiling?igsh=MXRwcHFkejlmNzZ2dg==,4.9,60.0,"RK Mission Rd, Gami Tola, Katihar, Bihar 854105",Gami Tola,25.5415203,87.57441539999999,ChIJsTjWUACp-jkRp3g5u5xl5fA,https://www.google.com/maps/place/?q=place_id:ChIJsTjWUACp-jkRp3g5u5xl5fA,part_395,2026-09-20 20:19:02,3331
Ravi Kumar Electricals & Interiors,False Ceiling Contractor,Interior designer,Interior designer,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91281 12809,https://sites.google.com/view/ravikumarelectricalsinteriors,5.0,6.0,"Old Coffee House Rd, near Amber Rest House, Sabzibagh, Dujra Diara, Patna, Bihar 800004","Sabzibagh, Dujra Diara",25.619040599999998,85.15480439999999,ChIJabLbnfRZ7TkRdSZeInJGQCM,https://www.google.com/maps/place/?q=place_id:ChIJabLbnfRZ7TkRdSZeInJGQCM,part_395,2026-09-20 20:19:02,3332
Sri Balajee Trading Co,False Ceiling Contractor,Ceiling supplier,"Ceiling supplier, Gypsum Product Supplier",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 80848 04364,http://www.sribalajeetrading.com/,4.8,30.0,"J36J+5J3 madho market, 90 Feet Rd, opp. aditya vision, Bhabha Colony, Kankarbagh, Hanuman Nagar, Patna, Bihar 800020","Bhabha Colony, Kankarbagh, Hanuman Nagar",25.5852836,85.1587318,ChIJz-MYeb9Z7TkRfWPSgtOI-no,https://www.google.com/maps/place/?q=place_id:ChIJz-MYeb9Z7TkRfWPSgtOI-no,part_395,2026-09-20 20:19:02,3333
New Sai Traders,False Ceiling Contractor,Gypsum Product Supplier,"Gypsum Product Supplier, Wholesaler",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 84069 79953,N/A,4.9,69.0,"Chowk, Adampur, Bhagalpur, Bihar 812001",Adampur,25.255336099999997,86.9854798,ChIJxZOLJm438DkRsH7pF-5q3Vs,https://www.google.com/maps/place/?q=place_id:ChIJxZOLJm438DkRsH7pF-5q3Vs,part_395,2026-09-20 20:19:02,3334
Arihant Enterprise,False Ceiling Contractor,Home goods store,Home goods store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.2,314.0,"गुलाब बाग - पूर्णियाँ सिटी रोड, Gulabbagh, Bihar 854326",845420,25.789042799999997,87.5317864,ChIJsTLVjnz47zkRgOtgKMmOlG8,https://www.google.com/maps/place/?q=place_id:ChIJsTLVjnz47zkRgOtgKMmOlG8,part_395,2026-09-20 20:19:02,3335
Aliya Glass,False Ceiling Contractor,Glass & mirror shop,Glass & mirror shop,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 82298 28235,N/A,5.0,2.0,"petrol pump, near Bindeshwari Ghat, Murarpur, Kirani Ghat, Gaya, Bihar 823001",Murarpur,24.7992523,85.0129089,ChIJRxdpyTEr8zkRhF7GLgyckQM,https://www.google.com/maps/place/?q=place_id:ChIJRxdpyTEr8zkRhF7GLgyckQM,part_395,2026-09-20 20:19:02,3336
Vaishnavi Construction & Interior,False Ceiling Contractor,Civil engineering company,Civil engineering company,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"House No. 142, Fena Surf Factory, Road, Zafar Colony, Phulwari Sharif, Patna, Hinduni, Bihar 804453","Zafar Colony, Phulwari Sharif",25.5447724,85.07529269999999,ChIJUVVVVUWo8jkRw-QrxyZ34Sg,https://www.google.com/maps/place/?q=place_id:ChIJUVVVVUWo8jkRw-QrxyZ34Sg,part_395,2026-09-20 20:19:02,3337
