business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
sai sound patna,Sound and Light Rental,Event management company,"Event management company, Audiovisual equipment rental service, DJ service",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93342 81176,https://www.saisound.com/,4.8,91.0,"Bypass Rd, near Sahid Ramgovind Singh Balika School, Dasratha, Sipara, Patna, Bihar 800002","Dasratha, Sipara",25.582061099999997,85.12312999999999,ChIJ78iSFfGn8jkRHfp6Fmo4LV0,https://www.google.com/maps/place/?q=place_id:ChIJ78iSFfGn8jkRHfp6Fmo4LV0,part_394,2026-09-20 20:19:11
VIP TENT HOUSE & LIGHT DJ SOUND,Sound and Light Rental,Tent House Supplier,Tent House Supplier,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"C63R+RXM, Katiknar, Kesath, Bihar 802125",844116,25.404582899999998,84.2424368,ChIJ0YJ9fgCDjTkR5ipYpzLGiEM,https://www.google.com/maps/place/?q=place_id:ChIJ0YJ9fgCDjTkR5ipYpzLGiEM,part_394,2026-09-20 20:19:12
Kajal Tent House & Dj Sound,Sound and Light Rental,Tent House Supplier,Tent House Supplier,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95086 65068,N/A,4.3,,"C8PQ+M45, Deuri, Goti Bandh, Bihar 824221",844116,24.4366415,84.337873,ChIJgUisNgD1jDkRX9krYiVFGe4,https://www.google.com/maps/place/?q=place_id:ChIJgUisNgD1jDkRX9krYiVFGe4,part_394,2026-09-20 20:19:12
Dj Sunil sound and tent,Sound and Light Rental,DJ supply store,DJ supply store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76544 10144,https://www.youtube.com/channel/UCe5uK65u3WtKic_ViBq0FEg,4.0,,"Block chowk, Near, Piroi Shamsuddin, Bihar 844114",844116,25.858810899999998,85.3562015,ChIJ9zuCuJ1v7TkRn6RDp1MVuIw,https://www.google.com/maps/place/?q=place_id:ChIJ9zuCuJ1v7TkRn6RDp1MVuIw,part_394,2026-09-20 20:19:12
Surya Dj system,Sound and Light Rental,DJ service,"DJ service, Tent House Supplier",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 70910 66277,N/A,4.7,,"Kateya, Lashkaripur, Kataiya, Bihar 841206",Kateya,26.0034969,84.61576269999999,ChIJ6SYRxI3BkjkR1jiga0FX4AQ,https://www.google.com/maps/place/?q=place_id:ChIJ6SYRxI3BkjkR1jiga0FX4AQ,part_394,2026-09-20 20:19:12
MAHIMA D.J SOUND LIGHT & TENT HOUSE,Sound and Light Rental,Tent House Supplier,"Tent House Supplier, DJ service",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,3.8,,"near SBI Branch Parmanand Pur, Permanand Pur, Ismail Chak, Bihar 841101",844116,25.73303,85.1263616,ChIJTWKgI29b7TkRu9CLOk_yrOE,https://www.google.com/maps/place/?q=place_id:ChIJTWKgI29b7TkRu9CLOk_yrOE,part_394,2026-09-20 20:19:12
Khushi Decorations and DJ Sound,Sound and Light Rental,Tent House Supplier,"Tent House Supplier, Wedding planner",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76770 38755,N/A,4.9,,"Vishwambharpur, Bihta, Kutlupur, Bihar 801103",Vishwambharpur,25.581127499999997,84.8896381,ChIJYfEnvNmrkjkROWRGf6Yow2Y,https://www.google.com/maps/place/?q=place_id:ChIJYfEnvNmrkjkROWRGf6Yow2Y,part_394,2026-09-20 20:19:12
SUNNY Light Dj & Event Planeer (सनी लाइट डीजे एंड इवेंट प्लानर),Sound and Light Rental,Event management company,Event management company,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 82717 76978,N/A,5.0,,"Hospital Road, Jehanabad, Bihar 804408",844116,25.2102625,84.986599,ChIJc68xkFG18jkRyY289gYtWGk,https://www.google.com/maps/place/?q=place_id:ChIJc68xkFG18jkRyY289gYtWGk,part_394,2026-09-20 20:19:12
Safalta Audio Visual,Sound and Light Rental,Audiovisual equipment rental service,"Audiovisual equipment rental service, Event planner, Video conferencing equipment supplier",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 92100 95777,https://www.safalta.co.in/,4.6,,"LalaRam Mkt, Mehrauli-Gurgaon Rd, Sukhrali, Sector 17, Gurugram, Haryana 122007","Block C, Sukhrali, Sector 17",28.4748397,77.0592434,ChIJyTXX6zQYDTkRDdtGby5NYx8,https://www.google.com/maps/place/?q=place_id:ChIJyTXX6zQYDTkRDdtGby5NYx8,part_394,2026-09-20 20:19:12
Munna Sound Sales And Service,Sound and Light Rental,DJ supply store,DJ supply store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93340 47275,N/A,3.7,,"16, Gola Rd, Electronics Market, Bakarganj, Patna, Bihar 800004","Electronics Market, Bakarganj",25.6171163,85.1497162,ChIJo8cw1k9W7TkR5UAw8jkQ4k8,https://www.google.com/maps/place/?q=place_id:ChIJo8cw1k9W7TkR5UAw8jkQ4k8,part_394,2026-09-20 20:19:12
