business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Janta Hardware,Shops,Store,Store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93411 09859,N/A,,,"Ranipokhar, Bihar 844116",844116,25.771333799999997,85.3254482,ChIJhVwutE1n7TkRATSBK8Q1Vow,https://www.google.com/maps/place/?q=place_id:ChIJhVwutE1n7TkRATSBK8Q1Vow,part_394,2026-09-20 20:19:28
RAJ FRESH MILK PARLOUR,Shops,General store,General store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 72549 65162,N/A,5.0,,"Vaishali, Chowk, Ranipokhar - Languraon Rd, Chowk, Bishunpur Udho Urf Dumri, Bihar 844116",Chowk,25.7716854,85.3263261,ChIJOWi-60xn7TkRljjz5wukeRE,https://www.google.com/maps/place/?q=place_id:ChIJOWi-60xn7TkRljjz5wukeRE,part_394,2026-09-20 20:19:28
SHUBHAM ELECTRONICS AND MOBILE CENTER,Shops,Cell phone accessory store,Cell phone accessory store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.3,,"RANIPOKHAR BAZAR, VAISHALI, Patna, Bishunpur Udho Urf Dumri, Bihar 844116",VAISHALI,25.771534499999998,85.3286933,ChIJq0mwb91n7TkRi7Qyba2G0hY,https://www.google.com/maps/place/?q=place_id:ChIJq0mwb91n7TkRi7Qyba2G0hY,part_394,2026-09-20 20:19:28
KK STAR SHOP,Shops,Mobile phone repair shop,Mobile phone repair shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Mirpur Patadh, Bihar 844116",844116,25.7848239,85.33464479999999,ChIJkRKZBgBp7TkRcs18DBy4fow,https://www.google.com/maps/place/?q=place_id:ChIJkRKZBgBp7TkRcs18DBy4fow,part_394,2026-09-20 20:19:28
Chandan mobile shop & ripeyring centre,Shops,Cell phone store,Cell phone store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Ranipokhar Market, Lachhmipur Bakhri, Bihar 844116",844116,25.7713248,85.3256159,ChIJeTQdLABn7TkRprk-YrT0SvQ,https://www.google.com/maps/place/?q=place_id:ChIJeTQdLABn7TkRprk-YrT0SvQ,part_394,2026-09-20 20:19:28
FS SHOP,Shops,Cell phone store,Cell phone store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 79708 18799,N/A,5.0,,"Karatkal Chowk, Hajipur, Muzaffarpur - Mahua Rd, New Mirpur City, Bihar 844116",844116,25.7781387,85.3386024,ChIJPT7v1GJp7TkRkmx-USefhXQ,https://www.google.com/maps/place/?q=place_id:ChIJPT7v1GJp7TkRkmx-USefhXQ,part_394,2026-09-20 20:19:28
अखिलेश साईकिल स्टोर,Shops,Bicycle Shop,Bicycle Shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Q8GP+XVR, Mirpur Patadh, Bihar 844116",844116,25.777485799999997,85.3371492,ChIJyf3Mqh1n7TkRf03_ehnZQ2E,https://www.google.com/maps/place/?q=place_id:ChIJyf3Mqh1n7TkRf03_ehnZQ2E,part_394,2026-09-20 20:19:28
Mishra khad beej bhandar,Shops,Building materials market,"Building materials market, Paintings store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.7,,"road, Ranipokhar - Karnpura Road, Mahua, Lachhmipur Bakhri, Bihar 844116",844116,25.769415799999997,85.325881,ChIJE-6qUXdn7TkRACr1NZ_w33o,https://www.google.com/maps/place/?q=place_id:ChIJE-6qUXdn7TkRACr1NZ_w33o,part_394,2026-09-20 20:19:29
Ashok Enterprise (Best hardware Shop),Shops,Hardware store,Hardware store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.5,,"Khesrahi, Bihar 843114",844116,25.876229799999997,85.5374427,ChIJ5-GN5Rx37TkRtNUW1lHTD4A,https://www.google.com/maps/place/?q=place_id:ChIJ5-GN5Rx37TkRtNUW1lHTD4A,part_394,2026-09-20 20:19:30
Manoj Cycle Store,Shops,Motorcycle shop,"Motorcycle shop, Bicycle Shop",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95041 27876,N/A,4.3,,"123manojkumar, Rajapakar, Bihar 844124",123manojkumar,25.7348748,85.3381781,ChIJVfs5FWFm7TkRMlGOWtt-Vto,https://www.google.com/maps/place/?q=place_id:ChIJVfs5FWFm7TkRMlGOWtt-Vto,part_394,2026-09-20 20:19:30
