business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shimali Paints,Paint and Putty Dealer,Manufacturer,Manufacturer,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 76319 06590,http://shimalipaints.com/,5.0,8.0,"Basgarha, Bihar 854108",854114,25.6002378,87.3956468,ChIJLb1zHAAD8DkRCqteHA9_sok,https://www.google.com/maps/place/?q=place_id:ChIJLb1zHAAD8DkRCqteHA9_sok,part_400,2026-09-20 20:19:02,2268
PUNIT LAL & SONS,Paint and Putty Dealer,Hardware store,"Hardware store, Construction Material Wholesaler",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77397 78189,N/A,4.4,20.0,"GHW5+7JJ, near AIRTEL TOWER, P and T Colony, Lohiya Nagar, Katihar, Bihar 854105","P and T Colony, Lohiya Nagar",25.545653899999998,87.5590398,ChIJz1mv4tSp-jkRS807n6QSdeI,https://www.google.com/maps/place/?q=place_id:ChIJz1mv4tSp-jkRS807n6QSdeI,part_400,2026-09-20 20:19:02,2269
Sulochana Hardware,Paint and Putty Dealer,Paint store,"Paint store, Electrical products wholesaler, Hardware store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96611 09759,N/A,5.0,12.0,"New Market, Dr. Rajendra Path, Kasturi Sweets Lane, opp. Akarsh Hotel, Katihar, Bihar 854105",854114,25.5434633,87.5731113,ChIJx25gvoap-jkRsKyVEp63o2M,https://www.google.com/maps/place/?q=place_id:ChIJx25gvoap-jkRsKyVEp63o2M,part_400,2026-09-20 20:19:02,2270
Nerolac Dealer - Mahadeo Hardware,Paint and Putty Dealer,Paint store,Paint store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 74840 75757,https://www.nerolac.com/store-locator/bihar/katihar/mahadeo-hardware?utm_source=google_maps&utm_medium=organic,,,"Falka, Bihar 854114",854114,25.631757999999998,87.27755289999999,ChIJMx27M_Qf8DkRNtVlINQVXo4,https://www.google.com/maps/place/?q=place_id:ChIJMx27M_Qf8DkRNtVlINQVXo4,part_400,2026-09-20 20:19:02,2271
Mohit Paints & Hardware Store,Paint and Putty Dealer,Paint store,"Paint store, Hardware store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,4.0,"GHRF+26G, Pani Tanki Barbanna, MG Rd, Katihar, Bihar 854105",Kadwa,25.5400562,87.57307,ChIJPw71aISp-jkRWGFBcM8-36w,https://www.google.com/maps/place/?q=place_id:ChIJPw71aISp-jkRWGFBcM8-36w,part_400,2026-09-20 20:19:02,2272
Nerolac Dealer - Ramesh Hardware,Paint and Putty Dealer,Paint store,Paint store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 83403 45804,https://www.nerolac.com/store-locator/bihar/katihar/ramesh-hardware?utm_source=google_maps&utm_medium=organic,,,"Kursela Purnia Division 854104, Bihar 854101",854114,25.452879799999998,87.2527034,ChIJSRB0AQ0Z8DkRsaRG2KVwztE,https://www.google.com/maps/place/?q=place_id:ChIJSRB0AQ0Z8DkRsaRG2KVwztE,part_400,2026-09-20 20:19:02,2273
Monu Trades Asian Paints,Paint and Putty Dealer,Paint store,Paint store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88630 06045,N/A,,,"9J8H CJR Manihari Road, Chowk, Nawabganj, Katihar, Bihar 854113",854114,25.3678915,87.62835559999999,ChIJmynHBIyl-jkRSJWXSH4HKig,https://www.google.com/maps/place/?q=place_id:ChIJmynHBIyl-jkRSJWXSH4HKig,part_400,2026-09-20 20:19:02,2274
Kiran Paint House 2K Paint,Paint and Putty Dealer,Paint store,Paint store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94303 18367,N/A,2.7,6.0,"NH 31, Hardiya Gunj, Katihar, Bihar 854109",Hardiya Gunj,25.564684399999997,87.5444535,ChIJL6jbUgmq-jkRvD2VGjn7cF8,https://www.google.com/maps/place/?q=place_id:ChIJL6jbUgmq-jkRvD2VGjn7cF8,part_400,2026-09-20 20:19:02,2275
Birla Opus Paint Gallery - Katihar Tractor,Paint and Putty Dealer,Paint store,"Paint store, Paint Manufacturer, Painter, Painting",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 80 4129 5644,http://www.birlaopus.com/?utm_source=Google&utm_medium=GMB,5.0,44.0,"Road, near Main SBI, branch, Mirchaibari, Katihar, Bihar 854105","branch, Mirchaibari",25.558811199999997,87.55596059999999,ChIJCUGBN3yp-jkROLFaP_JPQFY,https://www.google.com/maps/place/?q=place_id:ChIJCUGBN3yp-jkROLFaP_JPQFY,part_400,2026-09-20 20:19:02,2276
Perfect Coat Decor,Paint and Putty Dealer,Painter,"Painter, Paint store, Painting",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62033 43633,https://perfect-coat-decor.grexa.site/,4.3,4.0,"Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.562642099999998,87.5628552,ChIJwUxg6qGr-jkRuCZYq2vEnXI,https://www.google.com/maps/place/?q=place_id:ChIJwUxg6qGr-jkRuCZYq2vEnXI,part_400,2026-09-20 20:19:02,2277
Asian paint Authorised dealer PUNIT SALES,Paint and Putty Dealer,Housing development,Housing development,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.0,1.0,"GHW5+7JJ, near AIRTEL TOWER, P and T Colony, Lohiya Nagar, Katihar, Bihar 854105","P and T Colony, Lohiya Nagar",25.5457131,87.5590421,ChIJa4keUwCp-jkR1niwYlF_OmI,https://www.google.com/maps/place/?q=place_id:ChIJa4keUwCp-jkR1niwYlF_OmI,part_400,2026-09-20 20:19:02,2278
Asian Paints Authorised Dealer Parbatta Khagaria (Universal Hardware),Paint and Putty Dealer,Wholesaler,Wholesaler,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 82527 83237,N/A,5.0,2.0,"jama masjid, near Mojahidpur Road, Parbatta, Temtha Karari, Bihar 851216",854114,25.3137348,86.71542769999999,ChIJYU8DGVzH8TkRaHCRGMQWaq8,https://www.google.com/maps/place/?q=place_id:ChIJYU8DGVzH8TkRaHCRGMQWaq8,part_400,2026-09-20 20:19:02,2279
Nerolac Dealer - PANKAJ IRON STORE,Paint and Putty Dealer,Paint store,Paint store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 89870 32409,https://www.nerolac.com/store-locator/bihar/katihar/pankaj-iron-store?utm_source=google_maps&utm_medium=organic,,,"Hh44+Fpf Pankaj Iron Store, Chowk, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.5561901,87.5567931,ChIJS6Bzlkar-jkR1Kxn-7LUxWM,https://www.google.com/maps/place/?q=place_id:ChIJS6Bzlkar-jkR1Kxn-7LUxWM,part_400,2026-09-20 20:19:02,2280
