business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SATYABHAMA GUEST HOUSE,Guesthouse,Hotel,Hotel,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.7,3.0,"Satyabhama Guest House, Satyabhama Garden, New, Market Rd, near Karnataka Cafe and Hotel Satkar, Katihar, Bihar 854105",854114,25.5438995,87.5722849,ChIJp5gUUUGp-jkRZ5ZjSXL7HzQ,https://www.google.com/maps/place/?q=place_id:ChIJp5gUUUGp-jkRZ5ZjSXL7HzQ,part_400,2026-09-20 20:19:11,3095
Asha Guesthouse,Guesthouse,Guest house,Guest house,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 6452 243 605,N/A,4.3,9.0,"GHV8+WRH, Rajendra Prasad Path, Mangal Bazar, Katihar, Bihar 854105",Mangal Bazar,25.544812999999998,87.5671169,ChIJyWMr-Yip-jkRm-Vq-Q26kPA,https://www.google.com/maps/place/?q=place_id:ChIJyWMr-Yip-jkRm-Vq-Q26kPA,part_400,2026-09-20 20:19:11,3096
Karan house,Guesthouse,Housing complex,"Housing complex, Cafeteria, Lodge",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,1.0,"M73H+556, Kursela - Forbesganj Rd, Baretha, Bihar 854114",854114,25.652739699999998,87.27807829999999,ChIJ859C0zjh7zkRY6duxRouqWk,https://www.google.com/maps/place/?q=place_id:ChIJ859C0zjh7zkRY6duxRouqWk,part_400,2026-09-20 20:19:11,3097
BMB Guest House,Guesthouse,Restaurant,Restaurant,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 83405 61618,N/A,4.1,11.0,"B.S Tower, near I.T.I More, Mirchaibari, Katihar, Bihar 854105",Mirchaibari,25.558638799999997,87.55453539999999,ChIJz8nNd6Wr-jkRToYBxyzSU8Y,https://www.google.com/maps/place/?q=place_id:ChIJz8nNd6Wr-jkRToYBxyzSU8Y,part_400,2026-09-20 20:19:11,3098
Room rent katihar@499Day@1500month,Guesthouse,Guest house,Guest house,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98358 36783,N/A,4.7,28.0,"Anathalaya Rd, near Bachha Hospital, Katihar, Bihar 854105",854114,25.5465584,87.5769296,ChIJ0wL5Lg2p-jkRQA-5-kxV3xU,https://www.google.com/maps/place/?q=place_id:ChIJ0wL5Lg2p-jkRQA-5-kxV3xU,part_400,2026-09-20 20:19:11,3099
Kolkata Guest House,Guesthouse,Guest house,Guest house,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 6454 244 411,N/A,3.8,130.0,"Ford Company Chowk, NH 31, opposite of City Kart Mall, Purnia, Bihar 854301",Navratan Hatta,25.777727799999997,87.4779148,ChIJZSWIGXX57zkRgCo4MulpAkw,https://www.google.com/maps/place/?q=place_id:ChIJZSWIGXX57zkRgCo4MulpAkw,part_400,2026-09-20 20:19:11,3100
Namaste Katihar inn,Guesthouse,Hotel,Hotel,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 92415 98996,N/A,5.0,,"Ward No:- 19, 12, Lohiya Nagar, Katihar, Bihar 854105",Lohiya Nagar,25.5449079,87.5608941,ChIJUasP0ZCp-jkRACDO2Sb9am0,https://www.google.com/maps/place/?q=place_id:ChIJUasP0ZCp-jkRACDO2Sb9am0,part_400,2026-09-20 20:19:12,3101
Ashraf Lodge,Guesthouse,Lodge,Lodge,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91409 89868,https://zenhabitsdaily.blogspot.com/,4.2,,"Ashraf Lodge, Mazar Rd, Salmari, Bihar 855113",854114,25.610837399999998,87.8402619,ChIJVSp7AnK1-jkRrBmqUU98Ij8,https://www.google.com/maps/place/?q=place_id:ChIJVSp7AnK1-jkRrBmqUU98Ij8,part_400,2026-09-20 20:19:12,3102
Ashiana Boarding,Guesthouse,Hotel,Hotel,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 6452 240 060,N/A,4.0,,"GHV8+JVJ, Mangal Bazar Rd, Mangal Bazar, Gami Tola, Katihar, Bihar 854105","Mangal Bazar, Gami Tola",25.544086699999998,87.5671478,ChIJ0VpS4oip-jkRpVTOIp8vqf8,https://www.google.com/maps/place/?q=place_id:ChIJ0VpS4oip-jkRpVTOIp8vqf8,part_400,2026-09-20 20:19:12,3103
Alkam lodge,Guesthouse,Lodge,Lodge,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"JR6M+57J, Salmari, Tahirpur, Bihar 855113",854114,25.610463199999998,87.8331417,ChIJU2qly9a1-jkRLHvTzOHBcLY,https://www.google.com/maps/place/?q=place_id:ChIJU2qly9a1-jkRLHvTzOHBcLY,part_400,2026-09-20 20:19:12,3104
