business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Netcare CCTV Camera,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security service, Security system installation service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 90154 35309,https://cctv.netcaresystem.com/,4.8,,"Gate No- 2, DS College Rd, Hariganj Mohalla, Katihar, Bihar 854105",Hariganj Mohalla,25.534918899999997,87.5842801,ChIJl3Kmxxyp-jkRXy5UnPE5eiY,https://www.google.com/maps/place/?q=place_id:ChIJl3Kmxxyp-jkRXy5UnPE5eiY,part_400,2026-09-20 20:19:16,3660
Sri Balajee Services,CCTV Installation and Security System,Security system supplier,"Security system supplier, Computer security service, GPS supplier, Security system installation service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99346 41900,N/A,4.7,,"Nayak Niwash, Naya Tola, Ward No:34, Katihar, Bihar 854105","Naya Tola, Tingachiya",25.5343798,87.57316759999999,ChIJla5Rc4ap-jkRDcZXjHCXUs4,https://www.google.com/maps/place/?q=place_id:ChIJla5Rc4ap-jkRDcZXjHCXUs4,part_400,2026-09-20 20:19:16,3661
Smart Solution,CCTV Installation and Security System,Security system supplier,Security system supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77399 33747,https://www.justdial.com/Katihar/Smart-Solution/9999P6452-6452-130416211527-F2V8_BZDET,3.5,,"bara bazar road, Pani Tanki Chowk, Kadwa, Katihar, Bihar 854105",Kadwa,25.5399359,87.57392139999999,ChIJtS8kPcap-jkRs2JftAA515c,https://www.google.com/maps/place/?q=place_id:ChIJtS8kPcap-jkRs2JftAA515c,part_400,2026-09-20 20:19:16,3662
Sati Security,CCTV Installation and Security System,Security system supplier,"Security system supplier, Appliance store, Camera store, Electronics wholesaler, Refrigerator store, Electronics store, Used computer store, Washer & dryer store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,http://satisecuritysystems.com/,3.9,,"Rishi Bhawan Rd, Kadwa, Katihar, Bihar 854105",Kadwa,25.538108599999997,87.57348569999999,ChIJvQ3z7oWp-jkRzOLNkkA3WRk,https://www.google.com/maps/place/?q=place_id:ChIJvQ3z7oWp-jkRzOLNkkA3WRk,part_400,2026-09-20 20:19:16,3663
DIGITAL SECURITY CCTV,CCTV Installation and Security System,Security system installation service,Security system installation service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 74880 59683,N/A,,,"1, DURGASTHAN, Bihar 854105","1 No Colony, Tiarpara",25.5429157,87.5840049,ChIJu2WKjDip-jkRdahvs7o1Rgc,https://www.google.com/maps/place/?q=place_id:ChIJu2WKjDip-jkRdahvs7o1Rgc,part_400,2026-09-20 20:19:16,3664
Smart solution point,CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99553 47764,N/A,4.9,,"Anurag Cinema Rd, Mahalpr road, Bihar Sharif, Bihar 803101",Mahalpr road,25.1940417,85.5295089,ChIJAZfGrA_18jkRvTJq8UPRbYk,https://www.google.com/maps/place/?q=place_id:ChIJAZfGrA_18jkRvTJq8UPRbYk,part_400,2026-09-20 20:19:16,3665
JAI MATA DEE AGENCY,CCTV Installation and Security System,Electronics store,"Electronics store, Computer store",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 93343 39238,https://jaimatadeeagency.linker.store/,4.2,,"GHQC+MX9, Bania Tola Rd, Kadwa, Katihar, Bihar 854105",Kadwa,25.5385703,87.57198319999999,ChIJxWyimhep-jkRP5gYl-QNteM,https://www.google.com/maps/place/?q=place_id:ChIJxWyimhep-jkRP5gYl-QNteM,part_400,2026-09-20 20:19:16,3666
Sati Security,CCTV Installation and Security System,Electronics store,Electronics store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 92979 79709,http://www.satisecuritysystems.com/,5.0,,"Shiv Mandir Chowk, beside Rishi Bhawan Road, Kadwa, Katihar, Bihar 854105",Kadwa,25.5368855,87.5726719,ChIJR3barH-p-jkRriM24UkuZRk,https://www.google.com/maps/place/?q=place_id:ChIJR3barH-p-jkRriM24UkuZRk,part_400,2026-09-20 20:19:17,3667
"HI TECH SERVICE, BEST CCTV CAMERA , CP PLUS, HIKVISION, DAHUA, PRAMA, GPS TRACKER ALL wifi",CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Computer service, Computer store, Repair service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 73525 00998,https://gamma.app/docs/yuc1p1s85ahyeoi,5.0,,"Gyan Babu chowk, Rajendra Nagar, Motihari, Bihar 845401",Rajendra Nagar,26.6605554,84.9157568,ChIJ0asw6Jw1kzkRjaox4dBmIpk,https://www.google.com/maps/place/?q=place_id:ChIJ0asw6Jw1kzkRjaox4dBmIpk,part_400,2026-09-20 20:19:17,3668
Ak Security System & Electronics,CCTV Installation and Security System,Camera store,Camera store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 91997 95269,N/A,4.9,,"Rewa road Saraiya Motichauk rupsajni se sate, purab wali gali, mein, Bihar 843126",854114,26.035727299999998,85.1491325,ChIJs0pADCE57TkRDLkCBj_uT8U,https://www.google.com/maps/place/?q=place_id:ChIJs0pADCE57TkRDLkCBj_uT8U,part_400,2026-09-20 20:19:17,3669
Security Solution - Best CCTV Installer in Gopalganj Bihar (841428),CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera repair shop, Camera store, Camper shell supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 62042 55695,N/A,5.0,,"Security Solutions - Jagarnnath Saviti Complex, Block Road, near hotel kailash, Gopalganj, Bihar 841428",Ward No. 15,26.460577599999997,84.44024619999999,ChIJcyofcEYbkzkRByaVPkgeXe0,https://www.google.com/maps/place/?q=place_id:ChIJcyofcEYbkzkRByaVPkgeXe0,part_400,2026-09-20 20:19:17,3670
"IT Solutions Bihar: CCTV Camera Dealers in Patna, Nalanda, Bihar Sharif, Munger & Bhagalpur",CCTV Installation and Security System,Security system supplier,Security system supplier,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 82914 58828,https://www.justdial.com/Nalanda/IT-Solutions-Bihar-Green-Chilli-Restaurants-Biharsharif/9999P6112-6112-180605143015-L8Z2_BZDET?xid=TmFsYW5kYSBDQ1RWIEluc3RhbGxhdGlvbiBTZXJ2aWNlcyAgIEJpaGFyc2hhcmlm,5.0,,"Meer complex, Ranchi Rd, Bihar Sharif, Araut, Bihar 803110",854114,25.3350157,85.52465079999999,ChIJgbs_YW6L8jkR5crxJy6qBSg,https://www.google.com/maps/place/?q=place_id:ChIJgbs_YW6L8jkR5crxJy6qBSg,part_400,2026-09-20 20:19:17,3671
CCTV Camera Sales & Services,CCTV Installation and Security System,Security service,Security service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 88090 12349,N/A,5.0,,"NH57, opp. Aadarsh Thana, Mohan Badhiyam, Sakri East, Mohanbariam, Bihar 847239",Mohan Badhiyam,26.2146619,86.0709775,ChIJv--ktpHP7TkRbI2AdJwGBDQ,https://www.google.com/maps/place/?q=place_id:ChIJv--ktpHP7TkRbI2AdJwGBDQ,part_400,2026-09-20 20:19:17,3672
Vision System & Services,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer repair service, Electrical installation service, Security system supplier",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 96507 17704,https://www.visionsystem.in/,4.9,,"khata No-250 village keoti, Barbigha, Bihar 811101",854114,25.2294496,85.7672827,ChIJvaRo7EJp8jkRIVgl9xEZaKM,https://www.google.com/maps/place/?q=place_id:ChIJvaRo7EJp8jkRIVgl9xEZaKM,part_400,2026-09-20 20:19:17,3673
GLOBAL IT ZONE,CCTV Installation and Security System,Security system supplier,"Security system supplier, Camera repair shop, Camera store, Closed circuit television, Computer security service, Computer support and services, Fire protection equipment supplier, GPS supplier, Security system installation service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 73196 66655,https://www.globalitzone.in/,4.9,,"3rd Floor, Chandi Vyapar Bhawan, 302(I-3, Exhibition Rd, above Union Bank, Old Jakkanpur, Lodipur, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.6124999,85.1431874,ChIJWRDyK1xY7TkRL3k0XdcMORg,https://www.google.com/maps/place/?q=place_id:ChIJWRDyK1xY7TkRL3k0XdcMORg,part_400,2026-09-20 20:19:17,3674
Lens Security,CCTV Installation and Security System,Computer security service,Computer security service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,5.0,,"Ward no: 36, Naya Tola, Fulbari, Katihar, Bihar 854105","Naya Tola, Fulbari",25.5315452,87.57284609999999,ChIJOZj0tSap-jkROuNw2zSMdK8,https://www.google.com/maps/place/?q=place_id:ChIJOZj0tSap-jkROuNw2zSMdK8,part_400,2026-09-20 20:19:17,3675
DIGITAL SECURITY ( CCTV CAMERA'S INSTALLING &SURVICING ),CCTV Installation and Security System,Store,Store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 74880 59683,N/A,,,"near Durga mandir, near Maa durga mandir, Durgasthan, Katihar, Bihar 854105",Durgasthan,25.553997199999998,87.5590667,ChIJB0vS92ur-jkRSBjeNczhPVc,https://www.google.com/maps/place/?q=place_id:ChIJB0vS92ur-jkRSBjeNczhPVc,part_400,2026-09-20 20:19:17,3676
Milan CCTV Katihar .Sell To Service,CCTV Installation and Security System,Security system installation service,Security system installation service,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,,,"Argara Chowk, Tingachiya, Katihar, Bihar 854105",Tingachiya,25.530524999999997,87.57255669999999,ChIJQaqH0S6p-jkR7H1G-tPsXmw,https://www.google.com/maps/place/?q=place_id:ChIJQaqH0S6p-jkR7H1G-tPsXmw,part_400,2026-09-20 20:19:17,3677
Ray CCTV camera technician & electrician Installation,CCTV Installation and Security System,Electrical engineer,"Electrical engineer, Electronic engineering service",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94712 57883,http://www.raycctvcamara.com/,5.0,,"Adhaura, Bihar 802212",854114,25.2085783,84.3127738,ChIJK7IWQWJ1jTkRLWqfIwNIgF4,https://www.google.com/maps/place/?q=place_id:ChIJK7IWQWJ1jTkRLWqfIwNIgF4,part_400,2026-09-20 20:19:17,3678
