business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aushadhi Ayurvedic Dawakhana,Ayurvedic Pharmacy and Clinic,Medical clinic,"Medical clinic, Homeopathic pharmacy, Pharmacy",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 85398 85639,N/A,4.9,,"Shiv Mandir Chowk, Naya Tola Rd, Bara Bazar, Kadwa, Katihar, Bihar 854105","Bara Bazar, Kadwa",25.536485799999998,87.57380309999999,ChIJ-bWrmDKp-jkRzefHExPz194,https://www.google.com/maps/place/?q=place_id:ChIJ-bWrmDKp-jkRzefHExPz194,part_400,2026-09-20 20:18:53,1031
Kamakhya Ayurveda,Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 6452 242 538,N/A,5.0,,"Near Mahila College, Power House Rd, Binodpur, Katihar, Bihar 854105",Binodpur,25.533320099999997,87.5679299,ChIJR_qkIJCp-jkRL0GGMXPErd4,https://www.google.com/maps/place/?q=place_id:ChIJR_qkIJCp-jkRL0GGMXPErd4,part_400,2026-09-20 20:18:53,1032
Somnath Ayurved,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79798 61487,N/A,4.5,,"Rajendra Prasad Path, Kulipara, Katihar, Bihar 854105",Kulipara,25.5448319,87.5683974,ChIJmeTci4ip-jkRGvH5O1rN6Lw,https://www.google.com/maps/place/?q=place_id:ChIJmeTci4ip-jkRGvH5O1rN6Lw,part_400,2026-09-20 20:18:53,1033
Dr P K Das,Ayurvedic Pharmacy and Clinic,Doctor,Doctor,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94318 03983,http://www.drpkdasclinic.com/,3.6,,"KB Jha College Rd, Tiarpara, Katihar, Bihar 854105",Tiarpara,25.547940999999998,87.57742909999999,ChIJ-48XkoOp-jkRe4Nz0q22jvo,https://www.google.com/maps/place/?q=place_id:ChIJ-48XkoOp-jkRe4Nz0q22jvo,part_400,2026-09-20 20:18:53,1034
Hamdard Medical,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 98523 44551,N/A,4.4,,"Mangal Bazar Rd, Mangal Bazar, Katihar, Bihar 854105",Mangal Bazar,25.544889299999998,87.5669308,ChIJseH3_oip-jkRRt6miRUUwdg,https://www.google.com/maps/place/?q=place_id:ChIJseH3_oip-jkRRt6miRUUwdg,part_400,2026-09-20 20:18:53,1035
Patanjali Chikitsalay,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 94304 45933,https://patanjalistores.patanjaliayurved.org/patanjali-chikitsalay-ayurvedic-clinic-amla-tola-katihar-268405/Home?utm_source=locator&utm_medium=googleplaces,3.7,,"Infront Of Wireless, Ground Floor Wireless Gali, Amla Tola Rd, Katihar, Bihar 854105",854114,25.542869099999997,87.5693228,ChIJQ8lwA4ap-jkRxVmUj-lATvs,https://www.google.com/maps/place/?q=place_id:ChIJQ8lwA4ap-jkRxVmUj-lATvs,part_400,2026-09-20 20:18:53,1036
Patanjali store katihar,Ayurvedic Pharmacy and Clinic,General store,General store,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",N/A,N/A,4.7,,"Besides Hanuman mandir, Mangal Bazar, Fallpatti, Katihar, Bihar 854105","Mangal Bazar, Fallpatti",25.544723599999998,87.5665866,ChIJo9mlpeGp-jkRQVSQdutXU28,https://www.google.com/maps/place/?q=place_id:ChIJo9mlpeGp-jkRQVSQdutXU28,part_400,2026-09-20 20:18:53,1037
𝗞𝗲𝗿𝗮𝗹𝗮 𝗔𝘆𝘂𝗿𝘃𝗲𝗱𝗮𝗺 - Top & Best Ayurvedic Doctor/Top & Best Ayurvedic Clinic/Best Arthritis Treatment/Skin Treatment Doctor,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative Medicine Clinic, Cancer treatment center, Diabetologist, Doctor, Medical clinic, Pain management physician, Skin care clinic",854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 99320 19837,https://jsdl.in/RSL-EPI1787739688,4.9,,"Panitanki More, Sevoke Rd, Ward 10, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001","Ward 10, Near Pani Tanki More (Clock Tower)",26.7206135,88.42648319999999,ChIJeeC1nBNB5DkRDhfOag6PciI,https://www.google.com/maps/place/?q=place_id:ChIJeeC1nBNB5DkRDhfOag6PciI,part_400,2026-09-20 20:18:53,1038
LALAN MEDICAL,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 79799 48743,N/A,,,"02, Hariprasad, Bihar 854103",854114,25.4460721,87.5756361,ChIJX8v8ReCn-jkRnaw2f7pc7vU,https://www.google.com/maps/place/?q=place_id:ChIJX8v8ReCn-jkRnaw2f7pc7vU,part_400,2026-09-20 20:18:53,1039
SANJEEVANI NETRALAYA,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,854114,Bihar Circle,"East Region, Bhagalpur",Divisional Office Katihar,"Pothia SO, Bareta BO, Basantpur BO",+91 77629 56301,N/A,4.8,,"Dr.Alok Kumar, Eye surgeon, Moffar Ganj, Binodpur, Katihar, Bihar 854105","Moffar Ganj, Binodpur",25.537166799999998,87.5695099,ChIJI-rR9cGp-jkRYApqch7cUQo,https://www.google.com/maps/place/?q=place_id:ChIJI-rR9cGp-jkRYApqch7cUQo,part_400,2026-09-20 20:18:53,1040
