business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhubneshwari flour mill,Flour Mill,Manufacturer,Manufacturer,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,,"Kamlapuri chawk, Madhuban North, Bihar 845420",845420,26.4415414,85.1386363,ChIJ75rmAIbb7DkRkBToK94JgJo,https://www.google.com/maps/place/?q=place_id:ChIJ75rmAIbb7DkRkBToK94JgJo,part_395,2026-09-20 20:18:44
Vishwakarma Flour Mill,Flour Mill,Flour mill,Flour mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.8,,"C5H5+XF6, Pakridayal - Madhuban - Minapur Rd, Bajit Par, Pundar, Bihar 845420",845420,26.4299125,85.15862849999999,ChIJKa3fczTZ7DkRuQ1p1Sl0JJo,https://www.google.com/maps/place/?q=place_id:ChIJKa3fczTZ7DkRuQ1p1Sl0JJo,part_395,2026-09-20 20:18:44
Flour mill Ramban,Flour Mill,Flour mill,Flour mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 97080 59150,N/A,5.0,,"Ramban, ward no 2,po, ps pakaridayal, Chaita, Bihar 845414",845420,26.517960199999997,85.09661779999999,ChIJlyN_VADR7DkRqMzokfjbpAM,https://www.google.com/maps/place/?q=place_id:ChIJlyN_VADR7DkRqMzokfjbpAM,part_395,2026-09-20 20:18:44
Suraj Trading Company - Flour and Spices supplier,Flour Mill,Flour mill,Flour mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 70701 79759,N/A,4.9,,"panchayat bhawan, opposite of bhimalpur, near reliance tower, p.o, kathan, Bhimal Pur, Mehsi, Bihar 845426","p.o, kathan",26.3607023,85.1622593,ChIJ8XhC7EfZ7DkR-HF8C8xmsxk,https://www.google.com/maps/place/?q=place_id:ChIJ8XhC7EfZ7DkR-HF8C8xmsxk,part_395,2026-09-20 20:18:44
Keshri Flour Mill,Flour Mill,Wholesaler,Wholesaler,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,,"F2JF+XXW, Rashmandal, Koir Gawan, Mahuawa, Bihar 845416",Rashmandal,26.4824937,85.0249623,ChIJ3b5Pxl7R7DkRiPZHzHDC9m8,https://www.google.com/maps/place/?q=place_id:ChIJ3b5Pxl7R7DkRiPZHzHDC9m8,part_395,2026-09-20 20:18:44
ARPITA FLOUR MILL.,Flour Mill,Manufacturer,Manufacturer,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,,"85XR+3R, Madhopur Kesho, Bihar 845406",845420,26.347732099999998,85.192109,ChIJrbpSbwDf7DkR85LEhlnk2lI,https://www.google.com/maps/place/?q=place_id:ChIJrbpSbwDf7DkR85LEhlnk2lI,part_395,2026-09-20 20:18:44
Maruti Nandan Oil And Flour Mill,Flour Mill,Corporate office,Corporate office,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,,"Madhuban Vrit, Bihar 845436",845420,26.374134299999998,85.2066122,ChIJH7mflaPf7DkRwxvEdoZsiHY,https://www.google.com/maps/place/?q=place_id:ChIJH7mflaPf7DkRwxvEdoZsiHY,part_395,2026-09-20 20:18:44
Ashish Flour Mill,Flour Mill,Flour mill,"Flour mill, Agricultural service, Food manufacturer, Food Processing Company",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 88090 24505,N/A,4.6,,"Ashish Flour Mill, Lauwan kala, Baniapur, Chapra, Bihar 841403",845420,26.0025683,84.6504704,ChIJa56_YgjBkjkRp8kxtEFsTJQ,https://www.google.com/maps/place/?q=place_id:ChIJa56_YgjBkjkRp8kxtEFsTJQ,part_395,2026-09-20 20:18:44
Manokamna Flour Mill,Flour Mill,Food manufacturer,Food manufacturer,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.3,,"XR3V+R44, near మనోకంన మందిర్, LaxmiPur, Purandra, Kaurihar, Bihar 845305",LaxmiPur,26.954521699999997,84.84281539999999,ChIJb9wMwm5RkzkRHhdMVldDX98,https://www.google.com/maps/place/?q=place_id:ChIJb9wMwm5RkzkRHhdMVldDX98,part_395,2026-09-20 20:18:44
Bhorha mohanpur sheohar,Flour Mill,Flour mill,Flour mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"F6RC+333, Naya Gaon (E), Bihar 843329",845420,26.490146499999998,85.2201748,ChIJ3Q0_ZwDd7DkR0z8YSoU8FmQ,https://www.google.com/maps/place/?q=place_id:ChIJ3Q0_ZwDd7DkR0z8YSoU8FmQ,part_395,2026-09-20 20:18:44
Jaiswal aata mill,Flour Mill,Flour mill,Flour mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"C364+P97, Hospital Rd, Chakia, Bihar 845412",845420,26.4118133,85.0561024,ChIJFZrvCQDX7DkRTc2gKyQHzS0,https://www.google.com/maps/place/?q=place_id:ChIJFZrvCQDX7DkRTc2gKyQHzS0,part_395,2026-09-20 20:18:44
Anjit oil and flour mill,Flour Mill,Mill,Mill,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"CQ5G+2M, Semuwapur, Bihar 845423",845420,26.4075769,84.7767238,ChIJy0VdaFwpkzkR76VRhTgZLNc,https://www.google.com/maps/place/?q=place_id:ChIJy0VdaFwpkzkR76VRhTgZLNc,part_395,2026-09-20 20:18:46
