business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Angel One Ltd. - Shambhu Kumar,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial planner, Online Share Trading Center",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80 3760 3434,https://stockbroker.angelone.in/angel-one-ltd-shambhu-kumar-stock-broker-mithapur-patna-432666/Home,4.9,,"3rd Floor, Kamta Bhawan, Muslim Ln, near Gauriya Math, New Jakkanpur, Mithapur, Patna, Bihar 800001","New Jakkanpur, Mithapur",25.596493499999998,85.1264467,ChIJGTYdavBZ7TkRBVLFuxyTBWs,https://www.google.com/maps/place/?q=place_id:ChIJGTYdavBZ7TkRBVLFuxyTBWs,part_399,2026-09-20 20:19:21,3538
HDFC Securities - Madhepura,Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 92402 37953,https://www.hdfcsec.com/,,,"Ward No 13, Jagjivan Path, Madhepura, Bihar 852113",852114,25.921666,86.790724,ChIJGaNJiO437jkRiOTysmSBM9w,https://www.google.com/maps/place/?q=place_id:ChIJGaNJiO437jkRiOTysmSBM9w,part_399,2026-09-20 20:19:21,3539
Choice Equity Broking Pvt. Ltd - Gaya,Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 76349 33144,https://choiceindia.com/contact-us/bihar/gaya/choice-broking-stock-broker-gaya-823001?utm_source=demat_lead_generation&utm_medium=gmb_gaya&utm_campaign=GMB,5.0,,"2nd Floor 102, Office No. 2-A, Swarajpuri Rd, near Mahavir School, Gaya, Bihar 823001",Maroof Ganj,24.7989768,85.000198,ChIJa-O6N9Yr8zkRfPtXa6W1ZWw,https://www.google.com/maps/place/?q=place_id:ChIJa-O6N9Yr8zkRfPtXa6W1ZWw,part_399,2026-09-20 20:19:21,3540
Angel Broking Limited (Sub Broker),Stock Broker and Share Sub-broker,Online Share Trading Center,"Online Share Trading Center, Financial consultant",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 22 3941 3940,https://www.angelone.in/,5.0,,"below SBI ADB branch, Pakdi, Mauna, Chapra, Bihar 841301",Pakdi,25.786801099999998,84.7367799,ChIJNWhAtVe7kjkRa16ocf2I5sc,https://www.google.com/maps/place/?q=place_id:ChIJNWhAtVe7kjkRa16ocf2I5sc,part_399,2026-09-20 20:19:21,3541
"Share Bazaar ,Stock Broker , Barh",Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 84060 09010,N/A,5.0,,"P.S :, Landmark :, Vill + Post - Bhatgown, near Durga Sthan, Barh, Bihar 803213",Station Bazar,25.463702299999998,85.70635879999999,ChIJPcceHx578jkRw365680TIOI,https://www.google.com/maps/place/?q=place_id:ChIJPcceHx578jkRw365680TIOI,part_399,2026-09-20 20:19:21,3542
Mirae Asset Sharekhan - Authorised Partner,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial institution, Financial planner, Investment service, Online Share Trading Center",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 79039 84841,https://stockbroker-branch.sharekhan.com/mirae-asset-sharekhan-authorised-partner-jyoti-kumari-stock-broker-angari-jehanabad-118386/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ground Floor, Jehanabad, Rampur, Bihar 804426",852114,25.226879699999998,84.7379156,ChIJpeGpURFHjTkRTIJAtti2jaQ,https://www.google.com/maps/place/?q=place_id:ChIJpeGpURFHjTkRTIJAtti2jaQ,part_399,2026-09-20 20:19:21,3543
Stock Consultant Bihar,Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 98727 12879,https://stockbroker.angelone.in/angel-one-ltd-saurabh-kumar-chaudhary-stock-broker-damuchak-muzaffarpur-431074/Home,4.9,,"in front of SDO East, B.R.Ambedkar Bihar University, Muzaffarpur, Bihar 842001",B.R.Ambedkar Bihar University,26.112513999999997,85.3748474,ChIJg6BqtPkR7TkRTFeMaBeXYsc,https://www.google.com/maps/place/?q=place_id:ChIJg6BqtPkR7TkRTFeMaBeXYsc,part_399,2026-09-20 20:19:21,3544
Angel One Ltd. - Ptnac Branch,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Insurance agency, Investment service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70049 84521,N/A,4.6,,"8th Floor, Ashiana Plaza, 810, Buddh Marg, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6053417,85.13359899999999,ChIJKxCosjZZ7TkRKUl28T9Xzzc,https://www.google.com/maps/place/?q=place_id:ChIJKxCosjZZ7TkRKUl28T9Xzzc,part_399,2026-09-20 20:19:21,3545
Angel One Ltd. - Share Broker,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial planner, Online Share Trading Center",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80 3747 0048,https://stockbroker.angelone.in/angel-one-ltd-share-broker-stock-broker-ghantaghar-chowk-bhagalpur-372631/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Shop No S/34B, GF, Chandralok complex, Ghantaghar Chowk, near HP Gas, Adampur, Bhagalpur, Bihar 812001",Adampur,25.2500064,86.98236399999999,ChIJxUZsrnBL8DkRTzNlftj1DmE,https://www.google.com/maps/place/?q=place_id:ChIJxUZsrnBL8DkRTzNlftj1DmE,part_399,2026-09-20 20:19:21,3546
SR Mutual Fund & Insurance Services(AMFI Registered Mutual Fund & SIF Distributor),Stock Broker and Share Sub-broker,Financial consultant,"Financial consultant, Insurance broker",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,https://trusted-mutual-funds-q11skdb.gamma.site/,5.0,,"1st Floor, Ashirwad Bhawan, RWD Lane,Vidya Vihar Colony Ward No 40, Madhubani, Bihar 847212",Bhavara,26.329681899999997,86.069394,ChIJ9eSTX1DN7TkRL_RwLaGkAUU,https://www.google.com/maps/place/?q=place_id:ChIJ9eSTX1DN7TkRL_RwLaGkAUU,part_399,2026-09-20 20:19:21,3547
KUBER SUPPORT PRIVATE LIMITED,Stock Broker and Share Sub-broker,Investment company,Investment company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97980 22614,http://www.kubersupports.com/,5.0,,"Pump house, Professor Colony, South Shivpuri, Punaichak, Rajbansi Nagar, Patna, Bihar 800023","South Shivpuri, Punaichak, Rajbansi Nagar",25.6123259,85.11049469999999,ChIJkezAO_FZ7TkRqHgUNSKIRD4,https://www.google.com/maps/place/?q=place_id:ChIJkezAO_FZ7TkRqHgUNSKIRD4,part_399,2026-09-20 20:19:21,3548
Alice Blue Patna - Online Stock Trading & Mutual Fund Investment,Stock Broker and Share Sub-broker,Finance broker,Finance broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,https://aliceblueonline.com/,4.9,,"4th Floor, Ambition Business Centre, Laxmikant Niketan Parisar, 201/2/3/8 - 2nd Floor, & 401/9, Jamal Rd, Patna, Bihar 800001",Fraser Road Area,25.6086563,85.14033739999999,ChIJxZFirP1Z7TkRMbldLwWgOlc,https://www.google.com/maps/place/?q=place_id:ChIJxZFirP1Z7TkRMbldLwWgOlc,part_399,2026-09-20 20:19:21,3549
Stock broker mutuals fund insurance,Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 1860 258 8888,https://www.religareonline.com/,4.7,,"Bhabua, Bihar 821101",852114,25.0448,83.61420989999999,ChIJrRVEVpvZjTkR-Y6n7X4JKBU,https://www.google.com/maps/place/?q=place_id:ChIJrRVEVpvZjTkR-Y6n7X4JKBU,part_399,2026-09-20 20:19:21,3550
Upstox - Stock Market Advisor,Stock Broker and Share Sub-broker,Stock broker,Stock broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 76448 37988,https://upstox.com/open-account/?f=HS1793,,,"VILL PAKARIYA, PS, PO, Baburban, Parihar Dakshini, Bihar 843317",PO,26.699075699999998,85.6095351,ChIJ1YytLERf7DkRlzSpL61q010,https://www.google.com/maps/place/?q=place_id:ChIJ1YytLERf7DkRlzSpL61q010,part_399,2026-09-20 20:19:21,3551
Amit Kumar -Sub broker (Financial Instruments),Stock Broker and Share Sub-broker,Finance broker,Finance broker,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 87578 77535,https://m.facebook.com/100004402569826/,,,"Jogi Asthan, Adalpur, Hajipur, Bihar 844101",Adalpur,25.7073474,85.2144952,ChIJ46dJbANd7TkR_cDpIXQcAkE,https://www.google.com/maps/place/?q=place_id:ChIJ46dJbANd7TkR_cDpIXQcAkE,part_399,2026-09-20 20:19:21,3552
The Traders time,Stock Broker and Share Sub-broker,Investment company,Investment company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 75628 81386,N/A,5.0,13.0,"Banghara, Bihar 843128",852114,26.2854143,85.3009957,ChIJjelcWoUf7TkRJIJcmEECKJE,https://www.google.com/maps/place/?q=place_id:ChIJjelcWoUf7TkRJIJcmEECKJE,part_399,2026-09-20 20:19:22,3553
