business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
THE GLOBAL EDUCATION,Educational Consultant,Educational consultant,Educational consultant,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 96082 52216,https://the-global-education.grexa.site/,5.0,,"Thana Chowk, Mein Road, Madhepura, Bihar 852113",852114,25.9197241,86.7919828,ChIJZyfQOQA37jkRjxPlCZEXsYw,https://www.google.com/maps/place/?q=place_id:ChIJZyfQOQA37jkRjxPlCZEXsYw,part_399,2026-09-20 20:19:17,2918
Educational CONSULTANCY,Educational Consultant,Education center,Education center,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"Near, Railway overbridge, behind Registry court, chowk, Manikpur, Bihar 852113",chowk,25.906325499999998,86.8270545,ChIJb46rCNIz7jkRVvf8mBVWcN0,https://www.google.com/maps/place/?q=place_id:ChIJb46rCNIz7jkRVvf8mBVWcN0,part_399,2026-09-20 20:19:17,2919
R N career Education,Educational Consultant,Educational consultant,Educational consultant,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 92349 23588,http://rncareereducation.blogspot.com/,5.0,,"ward no 08, At hirolwa, Shankarpur, Bihar 852132",852114,26.022831,86.8664361,ChIJwQgdcvtL7jkR4trFVzYykRY,https://www.google.com/maps/place/?q=place_id:ChIJwQgdcvtL7jkR4trFVzYykRY,part_399,2026-09-20 20:19:17,2920
Abdhesh kumar,Educational Consultant,Student union,"Student union, Industrial consultant",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 62030 00963,N/A,,,"near shiv mandir, opposite Madhepura, Khari, Bhadaul, Bihar 852114",852114,25.9370539,86.8822445,ChIJ6zM6djc17jkR-yDteEAMks4,https://www.google.com/maps/place/?q=place_id:ChIJ6zM6djc17jkR-yDteEAMks4,part_399,2026-09-20 20:19:17,2921
Kosizon Enterprizes,Educational Consultant,Educational consultant,"Educational consultant, Government economic program",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,1.0,,"Shankarpur, Bihar 852132",852114,26.0314534,86.8692744,ChIJ6RYnN9pL7jkRtj-mujHQG4E,https://www.google.com/maps/place/?q=place_id:ChIJ6RYnN9pL7jkRtj-mujHQG4E,part_399,2026-09-20 20:19:17,2922
BHARAT GROUP OF HIGHER EDUCATION,Educational Consultant,Educational consultant,Educational consultant,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 75469 35196,http://www.bghe.in/,5.0,,"T.V Tower, Jumman chowk, Block Office Rd, Forbesganj - Jogbani Rd, near TV Tower, Forbesganj, Palasi, Bihar 854318",852114,26.3095692,87.2494117,ChIJT0lwcNaf7zkRvMEbNZeV-yg,https://www.google.com/maps/place/?q=place_id:ChIJT0lwcNaf7zkRvMEbNZeV-yg,part_399,2026-09-20 20:19:18,2923
Kumar Kishor Coaching Center,Educational Consultant,Educational consultant,Educational consultant,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,,"RWC8+6C8, Chatra Badh, Bihar 852115",852114,25.8205422,86.9160794,ChIJP0TL0MnN7zkR6QmiFkD4K30,https://www.google.com/maps/place/?q=place_id:ChIJP0TL0MnN7zkR6QmiFkD4K30,part_399,2026-09-20 20:19:18,2924
Mukesh Kumar,Educational Consultant,Educational consultant,Educational consultant,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94312 64365,N/A,,,"Ranipatti Ward No 09, Kumar Khand, Ranipatty West, Bihar 852112",852114,25.982652899999998,86.9347109,ChIJU0UUwWbL7zkR8Uy0MYsYRCs,https://www.google.com/maps/place/?q=place_id:ChIJU0UUwWbL7zkR8Uy0MYsYRCs,part_399,2026-09-20 20:19:18,2925
GYAN MARG(Admission Counselling Centre),Educational Consultant,Educational consultant,Educational consultant,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 99113 91607,N/A,4.8,17.0,"near fiziks Institute, Madhepura, Bihar 852113",852115,25.9296999,86.79138359999999,ChIJ2eGdoPo37jkRM8i371yFYrc,https://www.google.com/maps/place/?q=place_id:ChIJ2eGdoPo37jkRM8i371yFYrc,part_399,2026-09-20 20:19:55,5958
EduSpark,Educational Consultant,Educational consultant,Educational consultant,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 80029 06343,N/A,,,"Ward No 4, Girl School Road, Kishunganj, Bihar 852220",852115,25.685266199999997,86.9485874,ChIJyzDp8mHV7zkRVOt2FWPhAtQ,https://www.google.com/maps/place/?q=place_id:ChIJyzDp8mHV7zkRVOt2FWPhAtQ,part_399,2026-09-20 20:19:55,5959
Mina ocean of education service Pvt LTD,Educational Consultant,Educational consultant,Educational consultant,852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",+91 95345 36867,https://mooespvtltd.nic.in/,,,"ps sour saharsa, Office address, AT-GAURAV GADH po, durga mandir kachachari, Shivpuri, Kanp East, saharsa, Bihar 852221",Shivpuri,25.832207699999998,86.7479232,ChIJDdXc4mAx7jkRlnnJ85Xzu6U,https://www.google.com/maps/place/?q=place_id:ChIJDdXc4mAx7jkRlnnJ85Xzu6U,part_399,2026-09-20 20:21:15,9396
Asmit Career Maker,Educational Consultant,Educational consultant,Educational consultant,852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",N/A,http://asmitcareermaker.blogspot.com/,,,"WQ74+HPM, Garthan, Bihar 852113",852121,25.913969299999998,86.7568072,ChIJWzMFxwQ37jkRT2hm_Gnlia4,https://www.google.com/maps/place/?q=place_id:ChIJWzMFxwQ37jkRT2hm_Gnlia4,part_399,2026-09-20 20:21:15,9397
Shine Swift Classes,Educational Consultant,Educational consultant,Educational consultant,852121,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Mathahi SO, Arraha BO, BGarhia BO",N/A,N/A,,,"Ganesh sthan, N.H 107, Garthan, Bihar 852113",852121,25.9139774,86.7567657,ChIJzcOqaOQ37jkR_9VgrkfqIwc,https://www.google.com/maps/place/?q=place_id:ChIJzcOqaOQ37jkR_9VgrkfqIwc,part_399,2026-09-20 20:21:15,9398
Adzinox Private Limited,Educational Consultant,Educational consultant,Educational consultant,852122,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Murliganj SO, Amarpura BO, Bhangha Chandpur BO",+91 79033 39650,https://www.adzinox.com/,,,"Bhelahi Road, Sharma Tola, Dighi, Murliganj, Bihar 852122",Sharma Tola,25.870848799999997,86.99538849999999,ChIJUwuaioLP7zkR2tDM6Ec0ycQ,https://www.google.com/maps/place/?q=place_id:ChIJUwuaioLP7zkR2tDM6Ec0ycQ,part_399,2026-09-20 20:21:54,11245
Orrica Edge LLP,Educational Consultant,Consultant,Consultant,852122,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Murliganj SO, Amarpura BO, Bhangha Chandpur BO",N/A,https://orricaedge.com/,5.0,45.0,"W46F+QJM Near: Satsang Bhawan, Belachand Sukhia, Belchand Sukhia, Bihar 854102",852122,25.9124145,87.1235975,ChIJBZBwfShZ7TkRLHceLCDfULU,https://www.google.com/maps/place/?q=place_id:ChIJBZBwfShZ7TkRLHceLCDfULU,part_399,2026-09-20 20:21:55,11246
