business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Annapurna Transport Agency Pvt. Ltd.,Logistics and Transport Services,Transportation service,Transportation service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 98016 49592,http://matagroup.in/,3.8,,"Pumae Gola, Main Road,, Madhepura, Bihar 852113",852114,25.92869,86.790976,ChIJTZ2LW9s27jkRl4wbkspzLUc,https://www.google.com/maps/place/?q=place_id:ChIJTZ2LW9s27jkRl4wbkspzLUc,part_399,2026-09-20 20:19:06
New India Road Line,Logistics and Transport Services,Transportation service,Transportation service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 82983 52350,N/A,4.0,,"WQJW+X5V, Madhepura, Bihar 852113",852114,25.932499099999998,86.79541689999999,ChIJvUPrS8I27jkReBFom56Y9fA,https://www.google.com/maps/place/?q=place_id:ChIJvUPrS8I27jkReBFom56Y9fA,part_399,2026-09-20 20:19:06
Deepika Transport,Logistics and Transport Services,Transportation service,Transportation service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97080 30757,N/A,3.0,,"Durga Sthan, Chowk, Murliganj, Bihar 852122",852114,25.8937425,86.9935246,ChIJJY4RHCvP7zkRv_l1WB766RM,https://www.google.com/maps/place/?q=place_id:ChIJJY4RHCvP7zkRv_l1WB766RM,part_399,2026-09-20 20:19:06
Najuk Kumar,Logistics and Transport Services,Transportation service,Transportation service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"VXR2+RG4, Rampur, Bihar 852122",852114,25.8919301,86.9513147,ChIJNxVIAwDN7zkRDdEFEBjtt1c,https://www.google.com/maps/place/?q=place_id:ChIJNxVIAwDN7zkRDdEFEBjtt1c,part_399,2026-09-20 20:19:06
Weeple Logistics Solution Private Limited,Logistics and Transport Services,Transportation service,"Transportation service, Courier service, Logistics service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 88788 76676,https://www.weeple.in/,4.1,285.0,"2, behind Punjabi Dhaba, Dewas Naka, Lasudia Mori, Indore, Madhya Pradesh 452010","Dewas Naka, Lasudia Mori",22.780542,75.9042053,ChIJIyAfhS8dYzkRqqcL242e5BM,https://www.google.com/maps/place/?q=place_id:ChIJIyAfhS8dYzkRqqcL242e5BM,part_399,2026-09-20 20:19:07
Sanaya Packers And Movers,Logistics and Transport Services,Packaging company,"Packaging company, Courier service, Moving supply store, Packaging supply store, Transportation escort service, Transportation service",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91225 04444,http://www.sanayapackers.com/,4.7,267.0,"Plot no D26, behind Traffic Thana, Transport Nagar, Zero Mile, Patna, Bihar 800030","Transport Nagar, Zero Mile",25.5862746,85.1871187,ChIJ____s6tY7TkRPYXL6g-zfQQ,https://www.google.com/maps/place/?q=place_id:ChIJ____s6tY7TkRPYXL6g-zfQQ,part_399,2026-09-20 20:19:07
Maa Sherawali Cargo Packers and Movers,Logistics and Transport Services,Moving service,"Moving service, Logistics service, Packaging company",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 70709 03525,http://www.maasherawalicargo.in/,3.9,195.0,"Shop no 17, Savitri Market, Bypass Rd, opp. NRL Petrol Pump, East Lakshmi Nagar, Ramkrishan Nagar, Patna, Bihar 800030","East Lakshmi Nagar, Ramkrishan Nagar",25.5851291,85.1782133,ChIJe-qS9KBY7TkRaiocElSGZh0,https://www.google.com/maps/place/?q=place_id:ChIJe-qS9KBY7TkRaiocElSGZh0,part_399,2026-09-20 20:19:07
VRL Logistics Ltd - Darbanga,Logistics and Transport Services,Logistics service,"Logistics service, Courier service, Freight Forwarding Agency, Transportation service, Trucking company",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 79923 84052,https://vrlgroup.in/vrl_logistics_service.aspx,3.7,23.0,"Nh-57, near DARBHANGA CENTRAL SCHOOL, near Azad Transport, Basudevpur, Darbhanga, Krishna Vihar, Bihar 846006",Basudevpur,26.186518,85.89084199999999,ChIJYSraCp237TkRMpNe6sRWBYc,https://www.google.com/maps/place/?q=place_id:ChIJYSraCp237TkRMpNe6sRWBYc,part_399,2026-09-20 20:19:07
SMG Logistics (Transporter in Patna Bihar),Logistics and Transport Services,Transportation service,Transportation service,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94318 60600,N/A,2.8,38.0,"Narmada Apartment, B15, Exhibition Rd, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.6098902,85.1414794,ChIJMbTh7x9Z7TkRFZ6GKBeOggs,https://www.google.com/maps/place/?q=place_id:ChIJMbTh7x9Z7TkRFZ6GKBeOggs,part_399,2026-09-20 20:19:08
Khushi Packers & Movers,Logistics and Transport Services,Packaging company,Packaging company,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94300 50159,https://khushipackersmovers.com/,4.8,351.0,"Bypass Rd, near PNB Bank, Bigrahpur, Sipara, Patna, Bihar 800001","Bigrahpur, Sipara",25.5847129,85.1379723,ChIJT3x3NXhY7TkRrkv9LUlTZzI,https://www.google.com/maps/place/?q=place_id:ChIJT3x3NXhY7TkRrkv9LUlTZzI,part_399,2026-09-20 20:19:08
