business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tirupati marble & granite,Granite Dealer,Marble supplier,Marble supplier,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 63672 78787,N/A,5.0,,"Gurunanakpura Colony, Zero Mile, Bhagalpur, Bihar 812001","Gurunanakpura Colony, Zero Mile",25.2487836,87.02023369999999,ChIJ5dn-U6lJ8DkRVZK-ezemITI,https://www.google.com/maps/place/?q=place_id:ChIJ5dn-U6lJ8DkRVZK-ezemITI,part_399,2026-09-20 20:19:08
Siddhi Vinayak Marble,Granite Dealer,Marble supplier,"Marble supplier, Building materials supplier, Granite supplier, Kitchen furniture store, Marble contractor, Showroom, Stone supplier, Tile manufacturer, Tile store, Wholesaler",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,https://siddhi-vinayak-marble.grexa.site/,4.8,,"NH 31, near Sahoo Petrol Pump, Naugachhia, Pakra, Bihar 853204",852114,25.3832965,87.0819495,ChIJQWr9ZWs78DkR-LUVn_Aw19Q,https://www.google.com/maps/place/?q=place_id:ChIJQWr9ZWs78DkR-LUVn_Aw19Q,part_399,2026-09-20 20:19:08
Kavita Stonex Marble & Granite,Granite Dealer,Granite supplier,Granite supplier,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 77349 00260,N/A,5.0,,"Shingwesver road, near Dr. PK Madhukar, Dular Piprahi, Bihar 852128",852114,25.951569199999998,86.7952123,ChIJwzCMezE37jkRR4nHEzJERBQ,https://www.google.com/maps/place/?q=place_id:ChIJwzCMezE37jkRR4nHEzJERBQ,part_399,2026-09-20 20:19:09
Satyam Tiles Distributor Of Supreme,Granite Dealer,Hardware store,Hardware store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.4,,"WQ7P+HQ4, Ward No 19, Madhepura, Bihar 852113",Ward No 19,25.9138806,86.78695499999999,ChIJL7c6T2837jkRKHE9V5w26IE,https://www.google.com/maps/place/?q=place_id:ChIJL7c6T2837jkRKHE9V5w26IE,part_399,2026-09-20 20:19:09
KUMAR ENTERPRISES,Granite Dealer,Tile store,Tile store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 82851 25792,N/A,4.3,,"station chawk, near Madhepura Railway Station, Madhepura, Bihar 852113",852114,25.9098483,86.78241039999999,ChIJRW_N3Xcx7jkR7QGTsmtQ6Ak,https://www.google.com/maps/place/?q=place_id:ChIJRW_N3Xcx7jkR7QGTsmtQ6Ak,part_399,2026-09-20 20:19:09
Makrana Marbles & Granites,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Marble contractor, Natural stone supplier, Stone supplier, Tile store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 84325 53333,https://makrana-marbles-granites.grexa.site/,4.2,,"near panchayat bhawan, Zero Mile, Bhagalpur, Bihar 813210",Zero Mile,25.2534,87.0264898,ChIJo394ufpJ8DkRltVfikHaksI,https://www.google.com/maps/place/?q=place_id:ChIJo394ufpJ8DkRltVfikHaksI,part_399,2026-09-20 20:19:09
Jagdambey Marble,Granite Dealer,Marble supplier,Marble supplier,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91229 12222,N/A,4.0,,"RedCross Road, near Registry Office, Bhagalpur, Bihar 812001",Adampur,25.254571499999997,86.9888601,ChIJ8_OOXQI28DkRuOECFC5Qqp0,https://www.google.com/maps/place/?q=place_id:ChIJ8_OOXQI28DkRuOECFC5Qqp0,part_399,2026-09-20 20:19:09
SHIVAM GRANITO LLP,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Natural Stone Exporter, Natural stone supplier, Natural Stone Wholesaler, Tile manufacturer, Tile store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.9,,"RPS MAHILA COLLEGE JALALPAR HEIGHT,RPS, Danapur - Khagaul Rd, Danapur, Patna, Bihar 801503","RPS Nagar, Kaliket Nagar",25.6107271,85.0479522,ChIJn2I399tV7TkRCotEIOcpW9w,https://www.google.com/maps/place/?q=place_id:ChIJn2I399tV7TkRCotEIOcpW9w,part_399,2026-09-20 20:19:09
SHRI SHIVDOOTI GRANITES,Granite Dealer,Granite supplier,"Granite supplier, Business center",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.7,,"Near, Bypass Rd, near Krishna niketan girls school, Jakariyapur, Transport Nagar, Pahari, Patna, Bihar 800030","Jakariyapur, Transport Nagar, Pahari",25.583581,85.1868768,ChIJpaxY1len8jkRdxTHWhwlKdo,https://www.google.com/maps/place/?q=place_id:ChIJpaxY1len8jkRdxTHWhwlKdo,part_399,2026-09-20 20:19:09
Maa Enterprises Tiles & Sanitaryware Showroom,Granite Dealer,Granite supplier,"Granite supplier, Bathroom supply store, Tile store, Marble supplier",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 77828 91420,N/A,4.3,,"Naugachhia, Bihar 853204",852114,25.3856292,87.1084891,ChIJLYb54LE78DkR3W0JfO7_k9E,https://www.google.com/maps/place/?q=place_id:ChIJLYb54LE78DkR3W0JfO7_k9E,part_399,2026-09-20 20:19:09
