business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Akshay Kumar,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 96613 08203,N/A,5.0,,"Wad No 01, Madhepura, Belari Marg, Kumar Khand, Bihar 852114",852114,25.9659762,86.9140441,ChIJZwmOVWXL7zkROdpmlNVoY9U,https://www.google.com/maps/place/?q=place_id:ChIJZwmOVWXL7zkROdpmlNVoY9U,part_399,2026-09-20 20:19:01
Medical Center,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,2.0,,"Madhepura Belo Belo kala, Bihar 852114",852114,25.873982899999998,86.8790898,ChIJC8Xsqp8z7jkRwLuOYLIjyKQ,https://www.google.com/maps/place/?q=place_id:ChIJC8Xsqp8z7jkRwLuOYLIjyKQ,part_399,2026-09-20 20:19:01
Barun sharma,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"ward no 11, Betona, Madhepura, Bihar 852113",852114,25.9545383,86.8564207,ChIJAblxRNQ17jkRxcuhXZwzyS8,https://www.google.com/maps/place/?q=place_id:ChIJAblxRNQ17jkRxcuhXZwzyS8,part_399,2026-09-20 20:19:01
आर्यन मेडिकल हॉल,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"WVHC+Q4X स्कूल, Bhadaul, Madhepura, Bihar 852114",852114,25.9294862,86.8703616,ChIJ1Rg-XQA17jkRCvlgNzo5m-U,https://www.google.com/maps/place/?q=place_id:ChIJ1Rg-XQA17jkRCvlgNzo5m-U,part_399,2026-09-20 20:19:01
Doctor Pk Madhukar,Doctors,Hospital,Hospital,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.3,,"Birpur - Madhepura - Bihpur Rd, Bihar 852128",852114,25.9520774,86.7951229,ChIJbSlsIl037jkRYNZYp2mJ7zE,https://www.google.com/maps/place/?q=place_id:ChIJbSlsIl037jkRYNZYp2mJ7zE,part_399,2026-09-20 20:19:01
Dr Arun Kumar Mandal,Doctors,Hospital,Hospital,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.6,,"WQ7Q+3XJ, Ward No 18, Madhepura, Bihar 852113",Ward No 18,25.9127069,86.7898991,ChIJlWuV8J037jkR7jqsn3YKnUA,https://www.google.com/maps/place/?q=place_id:ChIJlWuV8J037jkR7jqsn3YKnUA,part_399,2026-09-20 20:19:01
"(हृदय राम ) पुत्र -पंकज कुमार ,रोहित कुमार",Doctors,Family practice physician,Family practice physician,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"8521 14, मुरहो, Madhepura, Bihar 852114",852114,25.89218,86.8560655,ChIJC4GrbQUz7jkRUs_XTV7ExEw,https://www.google.com/maps/place/?q=place_id:ChIJC4GrbQUz7jkRUs_XTV7ExEw,part_399,2026-09-20 20:19:01
Punam Devi,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 77830 69355,N/A,4.0,,"Ward No 08, School Ka Pas, Shop No 07 Tengraha Rd Tengraha, Kumar Khand, Madhepura, Bihar 852112",852114,25.9989156,86.9333453,ChIJv0vue3XL7zkRmfioDDCesrM,https://www.google.com/maps/place/?q=place_id:ChIJv0vue3XL7zkRmfioDDCesrM,part_399,2026-09-20 20:19:01
Mayank poly clinic & hospital,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91223 22897,N/A,3.7,,"WQCX+9XR, Udakishunganj - Madhepura Rd, Madhepura, Madanpur, Bihar 852113",852114,25.920983699999997,86.79988829999999,ChIJzyQPvpo37jkRzCjtxVKE5L8,https://www.google.com/maps/place/?q=place_id:ChIJzyQPvpo37jkRzCjtxVKE5L8,part_399,2026-09-20 20:19:01
Dr. Naydu Kumari,Doctors,Hospital,Hospital,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,3.7,,"WQ7J+8J5, Madhepura, Bihar 852113",852114,25.9132702,86.7816242,ChIJCZI-DgA37jkRw04Pp2EcZVw,https://www.google.com/maps/place/?q=place_id:ChIJCZI-DgA37jkRw04Pp2EcZVw,part_399,2026-09-20 20:19:01
R K Medical Store,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 75494 04356,N/A,4.0,,"Chamghad Chok, Chamghad, Bihar 852122",Chamghad,25.8658041,86.8914891,ChIJ5zitOAsz7jkRIpjJzlxUrlE,https://www.google.com/maps/place/?q=place_id:ChIJ5zitOAsz7jkRIpjJzlxUrlE,part_399,2026-09-20 20:19:02
Om Drug Store Dhrgoan Bihar 852114,Doctors,Doctor,Doctor,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 99394 50201,N/A,5.0,,"WVQW+Q5G, Durgaon, Bihar 852114",852114,25.939437599999998,86.8954383,ChIJZzdz2dU17jkRcOAinYvQ6CQ,https://www.google.com/maps/place/?q=place_id:ChIJZzdz2dU17jkRcOAinYvQ6CQ,part_399,2026-09-20 20:19:02
Lucky Medical Hall ( Dr. S.S Singh),Doctors,Doctor,"Doctor, Hospital",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91621 54248,N/A,,,"Chowk, Belari, Bihar 852114",852114,25.965279499999998,86.9080845,ChIJ-fA2PwDL7zkRQ_nzbZ2leAg,https://www.google.com/maps/place/?q=place_id:ChIJ-fA2PwDL7zkRQ_nzbZ2leAg,part_399,2026-09-20 20:19:02
