business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Suhagan Sarees,Saree Showroom,Showroom,Showroom,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,5.0,18.0,"Rajesh Talkies, Near, Videshi Tola, Thawe, Bihar 841440",Videshi Tola,26.435817399999998,84.3941057,ChIJR-CEYgAFkzkR9yTVBngmXkQ,https://www.google.com/maps/place/?q=place_id:ChIJR-CEYgAFkzkR9yTVBngmXkQ,part_392,2026-09-20 20:18:48
Chotu Bhai Saree wale,Saree Showroom,Clothing store,Clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 73679 70712,https://www.instagram.com/chhotubhai_saree_wale?igsh=MWs3NHJkOTZhNHBpMA%3D%3D&utm_source=qr,5.0,4.0,"Chotu bhai saree wale, Mushtaq market chandra, Gokul road, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.463818399999997,84.4418939,ChIJJZYAttMbkzkRhozgA086vNY,https://www.google.com/maps/place/?q=place_id:ChIJJZYAttMbkzkRhozgA086vNY,part_392,2026-09-20 20:18:48
Happy Collection,Saree Showroom,Clothing store,Clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,3.7,220.0,"FC7V+G34, Main Rd, Ward No. 15, Banakata, Gopalganj, Bihar 841428","Ward No. 15, Banakata",26.463856,84.4428698,ChIJdVnPGdIakzkRtTwcpFG_7II,https://www.google.com/maps/place/?q=place_id:ChIJdVnPGdIakzkRtTwcpFG_7II,part_392,2026-09-20 20:18:48
Bandhan collection & saree showroom,Saree Showroom,Women's clothing store,Women's clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 73198 47765,N/A,4.0,4.0,"Yadavpur Rd, Jalpurwan, Ward 12, Gopalganj, Bihar 841428","Jalpurwan, Ward 12",26.4690208,84.4429092,ChIJgWx_pmobkzkR_m2pvqsss44,https://www.google.com/maps/place/?q=place_id:ChIJgWx_pmobkzkR_m2pvqsss44,part_392,2026-09-20 20:18:48
Shree Laxmi Vastralaya And Garments,Saree Showroom,Clothing store,Clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 82109 62232,N/A,4.4,50.0,"New Market, Main Rd, beside Ram Krishna Jewellers, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.4645622,84.4426251,ChIJ6ecwCdIakzkRZdWwT6DXAyY,https://www.google.com/maps/place/?q=place_id:ChIJ6ecwCdIakzkRZdWwT6DXAyY,part_392,2026-09-20 20:18:48
New Saree Sansar,Saree Showroom,Clothing store,Clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 85409 91264,N/A,5.0,3.0,"Mauniya Chowk, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.465540999999998,84.4425565,ChIJgQ-ZEQAbkzkRb-Auohr__cQ,https://www.google.com/maps/place/?q=place_id:ChIJgQ-ZEQAbkzkRb-Auohr__cQ,part_392,2026-09-20 20:18:48
Shagun saree showroom,Saree Showroom,Women's clothing store,Women's clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 95726 01477,N/A,5.0,2.0,"Railway station road, Sasamusa, Gopalganj, Bihar 841505",841428,26.5233743,84.36138989999999,ChIJRylxoEwPkzkRNVLeEbNunVQ,https://www.google.com/maps/place/?q=place_id:ChIJRylxoEwPkzkRNVLeEbNunVQ,part_392,2026-09-20 20:18:48
GORAKH FASHION,Saree Showroom,Clothing store,Clothing store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 98014 61488,N/A,5.0,2.0,"Word No 16, Sapna Complax, Kachahri wala, Main Rd, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.4641567,84.44275019999999,ChIJya7SPOEbkzkRB9p4yqpkQ8g,https://www.google.com/maps/place/?q=place_id:ChIJya7SPOEbkzkRB9p4yqpkQ8g,part_392,2026-09-20 20:18:48
A & B Retail thawe,Saree Showroom,Saree Shop,Saree Shop,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 72505 78043,N/A,5.0,4.0,"near overbridge, Thawe, Gopalganj, Bihar 841440",841428,26.4358419,84.3940705,ChIJ37nUX30FkzkRpDp0JCDK54I,https://www.google.com/maps/place/?q=place_id:ChIJ37nUX30FkzkRpDp0JCDK54I,part_392,2026-09-20 20:18:48
Parda Ghar,Saree Showroom,Tailor,"Tailor, Designer Clothing Store",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 99342 78022,N/A,4.2,23.0,"Parda Ghar, Thana Rd, Town Thana, Gopalganj, Bihar 841428",Town Thana,26.465478299999997,84.4431942,ChIJ_R3m_c0akzkRyEsEqdDXuAY,https://www.google.com/maps/place/?q=place_id:ChIJ_R3m_c0akzkRyEsEqdDXuAY,part_392,2026-09-20 20:18:48
