business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shyam Oil Mill,Edible Oil Wholesaler,Store,Store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",N/A,N/A,5.0,2.0,"कोयला डिपु के समीप, ज्ञान पुस्तक केंद्र के बगल में, थाना चौक, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.3481742,86.07197239999999,ChIJiyQKuWPN7TkRikwRWy3zAOs,https://www.google.com/maps/place/?q=place_id:ChIJiyQKuWPN7TkRikwRWy3zAOs,part_397,2026-09-20 20:18:44
"OM GHEE ||Ohmi Rock Industries Pvt. Ltd. | Spices(Masala), Ghee and Tea( Chai Patti) Manufacturer/Wholesaler",Edible Oil Wholesaler,Dairy store,"Dairy store, Dairy Products Supplier, Flour mill, Herb shop, Spice store, Spices Exporter, Spices Wholesaler, Tea Manufacturer, Tea store, Tea Wholesaler",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 70618 97910,http://www.ohmigroup.com/,4.9,27.0,"Kotwali Chowk, near Vishal Mega Mart, beside Durga Mandir, Bhavara, Madhubani, Bihar 847212",Bhavara,26.3324404,86.0718239,ChIJs6wsQD3N7TkR-62ZNbE7iB8,https://www.google.com/maps/place/?q=place_id:ChIJs6wsQD3N7TkR-62ZNbE7iB8,part_397,2026-09-20 20:18:44
Shatrudhan Oil Industries,Edible Oil Wholesaler,General store,General store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 96932 99930,N/A,4.8,4.0,"Tisi, 001 Madhubani Vill Narsam Po Narsam Ps Bisfi Ward 01 Narsam, Road, Madhubani, Bihar 847304",847409,26.369559199999998,85.8861986,ChIJSSMBxCNL7DkRsgfIoqsZJlg,https://www.google.com/maps/place/?q=place_id:ChIJSSMBxCNL7DkRsgfIoqsZJlg,part_397,2026-09-20 20:18:44
Pihu Oil Mill Pro. (Ravi Kr.) Freshley Bharat,Edible Oil Wholesaler,Manufacturer,Manufacturer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 75440 98764,N/A,5.0,41.0,"747V+V9 pihu oil mill, Mahamadpur Balmi, Bihar 843111",847409,26.2646482,85.1435247,ChIJ8QUSPwAn7TkRRE54JviYP64,https://www.google.com/maps/place/?q=place_id:ChIJ8QUSPwAn7TkRRE54JviYP64,part_397,2026-09-20 20:18:44
Rejoie Works Private Limited(Manufacturer of Wood pressed extra virgin edible oil),Edible Oil Wholesaler,Gourmet grocery store,Gourmet grocery store,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 88771 84444,N/A,5.0,28.0,"Danapur - Khagaul Road Saguna More near Samay Hospital, Sarita Vatica-234, Patna, Bihar 801503",Kaliket Nagar,25.6192459,85.0420463,ChIJ3-v9OCJX7TkRmyvI8e755LA,https://www.google.com/maps/place/?q=place_id:ChIJ3-v9OCJX7TkRmyvI8e755LA,part_397,2026-09-20 20:18:44
SHREE KRISHNA MUSTARD OIL MILL,Edible Oil Wholesaler,Food & Beverage Exporter,Food & Beverage Exporter,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 94308 46783,N/A,5.0,32.0,"Near Vaishali Bricks Sahdullahpur, Bhagmarba, Hajipur, Bihar 844102",Bhagmarba,25.681162,85.256576,ChIJH7NAnwJd7TkR-2XmSCRGHPk,https://www.google.com/maps/place/?q=place_id:ChIJH7NAnwJd7TkR-2XmSCRGHPk,part_397,2026-09-20 20:18:44
Baba oil mustard oil,Edible Oil Wholesaler,Mill,"Mill, Flour mill",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 62876 06571,N/A,5.0,1.0,"Vill. Harkhhauli, Dis, Pashchim Tola, Mirganj, Bihar 841438",Pashchim Tola,26.3728341,84.3333794,ChIJS13SCTgBkzkRgsOL3t5xzsY,https://www.google.com/maps/place/?q=place_id:ChIJS13SCTgBkzkRgsOL3t5xzsY,part_397,2026-09-20 20:18:44
SK Oil Industries,Edible Oil Wholesaler,Manufacturer,Manufacturer,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 257 222 6317,http://www.skoil.org/,4.3,34.0,"2706/2B, Shivaji Nagar, Jalgaon, Maharashtra 425001",Shivaji Nagar,21.018452699999997,75.5541709,ChIJD7nqoaQP2TsR0y_7nT64-Z4,https://www.google.com/maps/place/?q=place_id:ChIJD7nqoaQP2TsR0y_7nT64-Z4,part_397,2026-09-20 20:18:44
Ambika Trading Company,Edible Oil Wholesaler,FMCG Goods Wholesaler,FMCG Goods Wholesaler,847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 98524 99994,https://www.justdial.com/Chapra/Ambika-Trading-Company-Chapra-HO/9999P6152-6152-200712153554-J3Q6_BZDET,4.6,115.0,"QPJX+WV3, Mohan Nagar, Nai Basti, Mauna, Chapra, Bihar 841301","Mohan Nagar, Nai Basti",25.7822733,84.74967339999999,ChIJdWZeYuq6kjkRdNRzvPtc7KU,https://www.google.com/maps/place/?q=place_id:ChIJdWZeYuq6kjkRdNRzvPtc7KU,part_397,2026-09-20 20:18:44
Shreyansh Oil Mill,Edible Oil Wholesaler,Wholesaler,"Wholesaler, Grocery store",847409,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Phulparas SO, Bagha Kusmar BO, Balua BO",+91 91022 03322,N/A,3.0,2.0,"Bazar, near kanchan Vastralay, Mohamda, Bihar 841406",847409,26.157874999999997,84.58541579999999,ChIJ_6JrJkPnkjkR9GcTBr6AOTo,https://www.google.com/maps/place/?q=place_id:ChIJ_6JrJkPnkjkR9GcTBr6AOTo,part_397,2026-09-20 20:18:44
